Timestamp                                               ,Total Requests ,Concurrent Requests ,Average Latency ,Max Latency ,Min Latency ,Avg. Throughput req/s ,Time Elapsed
2024-01-06 15:30:42.784082958 +0000 UTC m=+14.552193548 ,             0 ,                  0 ,0               ,0           ,0           ,       0              ,0
2024-01-06 15:30:42.952778292 +0000 UTC m=+14.720888715 ,          1000 ,                  1 ,164.601µs       ,1.021541ms  ,87.667µs    ,    6075.288006622064 ,164.60125ms
2024-01-06 15:30:43.052326875 +0000 UTC m=+14.820437215 ,          1000 ,                  2 ,98.788µs        ,1.017584ms  ,96.417µs    ,   10122.682764809559 ,98.788041ms
2024-01-06 15:30:43.115496209 +0000 UTC m=+14.883606590 ,          1000 ,                  3 ,62.339µs        ,553.75µs    ,95.042µs    ,   16041.322189298478 ,62.339001ms
2024-01-06 15:30:43.17549625 +0000 UTC m=+14.943606632  ,          1000 ,                  4 ,58.029µs        ,994.583µs   ,100.375µs   ,   17232.676214626226 ,58.029292ms
2024-01-06 15:30:43.22895075 +0000 UTC m=+14.997061132  ,          1000 ,                  5 ,52.457µs        ,846.292µs   ,94.958µs    ,   19063.202580288347 ,52.457083ms
2024-01-06 15:30:43.2702965 +0000 UTC m=+15.038406882   ,          1000 ,                  6 ,40.613µs        ,641.291µs   ,94.917µs    ,   24622.404955485523 ,40.613417ms
2024-01-06 15:30:43.310109334 +0000 UTC m=+15.078219715 ,          1000 ,                  7 ,38.302µs        ,741.209µs   ,94.042µs    ,   26108.155435843284 ,38.302208ms
2024-01-06 15:30:43.360070625 +0000 UTC m=+15.128181007 ,          1000 ,                  8 ,49.172µs        ,2.272042ms  ,114.292µs   ,   20336.742700121125 ,49.172083ms
2024-01-06 15:30:43.392549709 +0000 UTC m=+15.160660090 ,          1000 ,                  9 ,31.763µs        ,987.75µs    ,97.708µs    ,   31482.47049746207  ,31.763708ms
2024-01-06 15:30:43.422382209 +0000 UTC m=+15.190492590 ,          1000 ,                 10 ,29.126µs        ,628.833µs   ,130.917µs   ,   34332.75054633706  ,29.126708ms
2024-01-06 15:30:43.5125005 +0000 UTC m=+15.280610840   ,          1000 ,                 11 ,89.312µs        ,5.936125ms  ,149.875µs   ,   11196.62533712339  ,89.312625ms
2024-01-06 15:30:43.547849292 +0000 UTC m=+15.315959632 ,          1000 ,                 12 ,34.546µs        ,1.215709ms  ,154.083µs   ,   28946.247744218912 ,34.546792ms
2024-01-06 15:30:43.59326175 +0000 UTC m=+15.361372090  ,          1000 ,                 13 ,44.485µs        ,9.2175ms    ,121.875µs   ,   22479.3611365565   ,44.48525ms
2024-01-06 15:30:43.622555 +0000 UTC m=+15.390665340    ,          1000 ,                 14 ,28.607µs        ,1.461125ms  ,111.625µs   ,   34955.76679791509  ,28.607583ms
2024-01-06 15:30:43.647135584 +0000 UTC m=+15.415245965 ,          1000 ,                 15 ,23.75µs         ,1.151542ms  ,112.334µs   ,   42104.81994926369  ,23.75025ms
2024-01-06 15:30:43.671980209 +0000 UTC m=+15.440090590 ,          1000 ,                 16 ,24.081µs        ,1.134375ms  ,103.833µs   ,   41525.29380391125  ,24.081708ms
2024-01-06 15:30:43.696713792 +0000 UTC m=+15.464824132 ,          1000 ,                 17 ,24.009µs        ,1.214541ms  ,117.542µs   ,   41650.54096555617  ,24.009292ms
2024-01-06 15:30:43.720071 +0000 UTC m=+15.488181382    ,          1000 ,                 18 ,22.633µs        ,1.268542ms  ,115.792µs   ,   44181.40212153791  ,22.633958ms
2024-01-06 15:30:43.745851459 +0000 UTC m=+15.513961799 ,          1000 ,                 19 ,25.034µs        ,1.806292ms  ,84.375µs    ,   39944.60960874774  ,25.034667ms
2024-01-06 15:30:43.768250501 +0000 UTC m=+15.536360882 ,          1000 ,                 20 ,21.684µs        ,1.252084ms  ,142.292µs   ,   46116.06574435457  ,21.684417ms
2024-01-06 15:30:43.790451209 +0000 UTC m=+15.558561549 ,          1000 ,                 21 ,21.402µs        ,1.302375ms  ,114.167µs   ,   46723.42191876086  ,21.402542ms
2024-01-06 15:30:43.824650667 +0000 UTC m=+15.592761091 ,          1000 ,                 22 ,32.419µs        ,1.822125ms  ,139.542µs   ,   30845.395168068848 ,32.41975ms
2024-01-06 15:30:43.867669959 +0000 UTC m=+15.635780341 ,          1000 ,                 23 ,41.995µs        ,3.825333ms  ,148µs       ,   23812.33479895079  ,41.995042ms
2024-01-06 15:30:43.896101376 +0000 UTC m=+15.664211757 ,          1000 ,                 24 ,27.491µs        ,2.385625ms  ,144.625µs   ,   36374.60429886713  ,27.491708ms
2024-01-06 15:30:43.919535334 +0000 UTC m=+15.687645716 ,          1000 ,                 25 ,22.671µs        ,1.844667ms  ,116.708µs   ,   44108.89144387192  ,22.671166ms
2024-01-06 15:30:43.941043792 +0000 UTC m=+15.709154174 ,          1000 ,                 26 ,20.808µs        ,1.430542ms  ,103.792µs   ,   48057.669972890195 ,20.808333ms
2024-01-06 15:30:43.964246584 +0000 UTC m=+15.732356966 ,          1000 ,                 27 ,22.358µs        ,1.669625ms  ,159.417µs   ,   44725.3854623802   ,22.358667ms
2024-01-06 15:30:43.988513959 +0000 UTC m=+15.756624341 ,          1000 ,                 28 ,23.521µs        ,1.844042ms  ,101.25µs    ,   42515.19918370817  ,23.521ms
2024-01-06 15:30:44.009316126 +0000 UTC m=+15.777426507 ,          1000 ,                 29 ,19.931µs        ,1.592417ms  ,111.083µs   ,   50171.00032897125  ,19.931833ms
2024-01-06 15:30:44.034799084 +0000 UTC m=+15.802909466 ,          1000 ,                 30 ,24.333µs        ,2.09675ms   ,114.708µs   ,   41095.115796173486 ,24.333792ms
2024-01-06 15:30:44.072308459 +0000 UTC m=+15.840418841 ,          1000 ,                 31 ,22.692µs        ,1.924083ms  ,112.292µs   ,   44067.34353812559  ,22.692541ms
2024-01-06 15:30:44.094288042 +0000 UTC m=+15.862398424 ,          1000 ,                 32 ,21.194µs        ,1.736958ms  ,179.625µs   ,   47182.330217333605 ,21.194375ms
2024-01-06 15:30:44.114733709 +0000 UTC m=+15.882844091 ,          1000 ,                 33 ,19.664µs        ,2.101333ms  ,204.083µs   ,   50853.166110494065 ,19.664459ms
2024-01-06 15:30:44.135224084 +0000 UTC m=+15.903334424 ,          1000 ,                 34 ,19.504µs        ,2.666125ms  ,134.125µs   ,   51271.534044298605 ,19.504ms
2024-01-06 15:30:44.156021667 +0000 UTC m=+15.924132049 ,          1000 ,                 35 ,19.801µs        ,1.9665ms    ,114.959µs   ,   50501.862256170694 ,19.80125ms
2024-01-06 15:30:44.176733792 +0000 UTC m=+15.944844132 ,          1000 ,                 36 ,19.77µs         ,2.156333ms  ,158.334µs   ,   50579.66317181426  ,19.770792ms
2024-01-06 15:30:44.197889042 +0000 UTC m=+15.965999424 ,          1000 ,                 37 ,20.424µs        ,2.236041ms  ,134.041µs   ,   48961.506855002655 ,20.424208ms
2024-01-06 15:30:44.217144792 +0000 UTC m=+15.985255174 ,          1000 ,                 38 ,18.643µs        ,2.090666ms  ,180.334µs   ,   53638.83726448796  ,18.643208ms
