Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-24 16:07:51.132307365 +0000 UTC m=+4.998901253,0,0,0,0,0,0,0
2024-01-24 16:08:36.839000465 +0000 UTC m=+50.705594361,100000,1,451.828µs,4.313532ms,244.928µs,2213.227439225537,45.702164138s
2024-01-24 16:09:04.081458544 +0000 UTC m=+77.948052440,100000,2,539.209µs,5.12793ms,230.105µs,1854.5657025137332,27.238288363s
2024-01-24 16:09:24.425792298 +0000 UTC m=+98.292386197,100000,3,604.667µs,4.171165ms,259.404µs,1653.800317259678,20.34061471s
2024-01-24 16:09:41.210170409 +0000 UTC m=+115.076764308,100000,4,665.305µs,4.95065ms,219.639µs,1503.068381206442,16.780891124s
2024-01-24 16:09:55.806031257 +0000 UTC m=+129.672625163,100000,5,723.219µs,5.812662ms,261.412µs,1382.7067360928718,14.592025221s
2024-01-24 16:10:08.711285962 +0000 UTC m=+142.577879858,100000,6,767.379µs,4.759706ms,264.415µs,1303.1364800136434,12.899356237s
2024-01-24 16:10:20.458663744 +0000 UTC m=+154.325257641,100000,7,815.543µs,6.58347ms,257.52µs,1226.1760706766584,11.743876831s
2024-01-24 16:10:31.620236015 +0000 UTC m=+165.486829911,100000,8,885.557µs,4.722497ms,274.565µs,1129.2317104112103,11.157574232s
2024-01-24 16:10:41.999463184 +0000 UTC m=+175.866057099,100000,9,926.644µs,5.668374ms,268.345µs,1079.1626541208486,10.375693238s
2024-01-24 16:10:51.74827923 +0000 UTC m=+185.614873127,100000,10,966.535µs,7.322528ms,270.609µs,1034.6226885565386,9.744905096s
2024-01-24 16:11:01.211263533 +0000 UTC m=+195.077857429,100000,11,1.032643ms,5.944553ms,302.478µs,968.3887655336337,9.459280694s
2024-01-24 16:11:10.30503803 +0000 UTC m=+204.171631912,100000,12,1.081967ms,6.395339ms,294.561µs,924.2420530350274,9.090198141s
2024-01-24 16:11:19.017118018 +0000 UTC m=+212.883711914,100000,13,1.122634ms,8.808395ms,305.283µs,890.7622354668309,8.708613847s
2024-01-24 16:11:27.574608465 +0000 UTC m=+221.441202362,100000,14,1.187616ms,10.704448ms,312.307µs,842.0226430594531,8.553938535s
2024-01-24 16:11:35.768817638 +0000 UTC m=+229.635411534,100000,15,1.218109ms,9.929665ms,269.148µs,820.9445670182256,8.190660526s
2024-01-24 16:11:43.851013405 +0000 UTC m=+237.717607301,100000,16,1.280544ms,7.862546ms,304.619µs,780.9180380015918,8.078606854s
2024-01-24 16:11:51.768402251 +0000 UTC m=+245.634996147,100000,17,1.332491ms,8.945476ms,260.165µs,750.4735703464706,7.913874914s
2024-01-24 16:11:59.53940768 +0000 UTC m=+253.406001576,100000,18,1.384226ms,6.996827ms,304.795µs,722.4251100940679,7.767277903s
2024-01-24 16:12:07.247632956 +0000 UTC m=+261.114226851,100000,19,1.451269ms,10.19294ms,304.056µs,689.05197438607,7.704550444s
2024-01-24 16:12:14.618762512 +0000 UTC m=+268.485356408,100000,20,1.458526ms,8.222444ms,320.896µs,685.6233901218703,7.367651748s
2024-01-24 16:12:21.754321075 +0000 UTC m=+275.620914971,100000,21,1.483836ms,8.700063ms,278.553µs,673.9285342423478,7.130223373s
2024-01-24 16:12:28.873524183 +0000 UTC m=+282.740118079,100000,22,1.551311ms,7.825143ms,315.477µs,644.6157121416032,7.11551151s
2024-01-24 16:12:35.961579321 +0000 UTC m=+289.828173226,100000,23,1.61388ms,9.605783ms,336.626µs,619.6245851152239,7.084464677s
2024-01-24 16:12:43.160095557 +0000 UTC m=+297.026689457,100000,24,1.709545ms,18.681148ms,285.61µs,584.9506639373478,7.194860969s
2024-01-24 16:12:49.871514532 +0000 UTC m=+303.738108429,100000,25,1.6604ms,8.46019ms,311.256µs,602.2644280147055,6.707864811s
2024-01-24 16:12:56.679827295 +0000 UTC m=+310.546421192,100000,26,1.749861ms,11.321792ms,339.801µs,571.4738538705388,6.804806633s
2024-01-24 16:13:03.347723984 +0000 UTC m=+317.214317879,100000,27,1.7799ms,11.439933ms,325.57µs,561.829149321116,6.664281902s
2024-01-24 16:13:10.05635109 +0000 UTC m=+323.922944989,100000,28,1.858178ms,10.258947ms,329.473µs,538.1615104566728,6.704694525s
2024-01-24 16:13:16.807647745 +0000 UTC m=+330.674241641,100000,29,1.938908ms,85.794023ms,337.607µs,515.7541304661645,6.74785288s
2024-01-24 16:13:23.396451222 +0000 UTC m=+337.263045119,100000,30,1.955559ms,10.851185ms,292.74µs,511.362722713603,6.585254919s
2024-01-24 16:13:29.93501922 +0000 UTC m=+343.801613116,100000,31,2.005535ms,14.863634ms,331.932µs,498.6198699249144,6.534796576s
2024-01-24 16:13:36.481335041 +0000 UTC m=+350.347928937,100000,32,2.073359ms,12.272627ms,329.352µs,482.3089798900145,6.542804687s
2024-01-24 16:13:42.984981569 +0000 UTC m=+356.851575465,100000,33,2.122035ms,14.349819ms,353.627µs,471.2455821856069,6.500026742s
2024-01-24 16:13:49.280689703 +0000 UTC m=+363.147283599,100000,34,2.115822ms,11.014977ms,334.647µs,472.629390447334,6.292191291s
2024-01-24 16:13:55.487633229 +0000 UTC m=+369.354227125,100000,35,2.149884ms,11.229656ms,343.407µs,465.1413404936091,6.203279668s
2024-01-24 16:14:01.693236613 +0000 UTC m=+375.559830509,100000,36,2.211107ms,20.389293ms,314.145µs,452.2621389561292,6.202044274s
2024-01-24 16:14:08.021779793 +0000 UTC m=+381.888373689,100000,37,2.317529ms,12.820102ms,314.32µs,431.4939075011002,6.325055335s
2024-01-24 16:14:14.286485916 +0000 UTC m=+388.153079812,100000,38,2.355481ms,13.050545ms,340.091µs,424.5417225093367,6.260680782s
2024-01-24 16:14:20.548526188 +0000 UTC m=+394.415120085,100000,39,2.416851ms,12.523128ms,282.614µs,413.76151401451585,6.257002594s
2024-01-24 16:14:26.750591624 +0000 UTC m=+400.617185520,100000,40,2.454124ms,16.34498ms,330.663µs,407.47733580321227,6.198287351s
2024-01-24 16:14:32.947875383 +0000 UTC m=+406.814469280,100000,41,2.515739ms,15.920531ms,355.182µs,397.4973573030357,6.193433532s
2024-01-24 16:14:39.092446992 +0000 UTC m=+412.959040888,100000,42,2.553941ms,16.345993ms,389.219µs,391.55158166234435,6.140540194s
2024-01-24 16:14:45.039726416 +0000 UTC m=+418.906320312,100000,43,2.529621ms,17.560914ms,352.313µs,395.3160618117568,5.943690744s
2024-01-24 16:14:51.170943276 +0000 UTC m=+425.037537172,100000,44,2.670233ms,15.78623ms,362.11µs,374.4990925245116,6.127452773s
2024-01-24 16:14:56.975085814 +0000 UTC m=+430.841679710,100000,45,2.582783ms,15.426445ms,357.038µs,387.1792166997993,5.799731236s
2024-01-24 16:15:02.943734803 +0000 UTC m=+436.810328699,100000,46,2.718677ms,101.291412ms,346.524µs,367.8259115252029,5.964902001s
2024-01-24 16:15:08.979366572 +0000 UTC m=+442.845960469,100000,47,2.809415ms,16.258578ms,335.437µs,355.94586284495557,6.032064206s
2024-01-24 16:15:14.827387998 +0000 UTC m=+448.693981894,100000,48,2.775162ms,15.693763ms,396.037µs,360.33925158961324,5.843624151s
2024-01-24 16:15:20.73363221 +0000 UTC m=+454.600226107,100000,49,2.862729ms,15.394341ms,406.548µs,349.31696388020174,5.902489142s
2024-01-24 16:15:26.540359071 +0000 UTC m=+460.406952967,100000,50,2.871003ms,17.2317ms,374.504µs,348.3102983708362,5.803255047s
2024-01-24 16:15:32.458464787 +0000 UTC m=+466.325058687,100000,51,2.986266ms,17.538474ms,405.024µs,334.86629336392275,5.912925182s
2024-01-24 16:15:38.301871678 +0000 UTC m=+472.168465574,100000,52,3.007366ms,75.015251ms,335.041µs,332.51679957492735,5.839814664s
