Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-09 08:59:00.997548222 +0000 UTC m=+11.422354257,0,0,0,0,0,0,0
2024-01-09 08:59:01.501918 +0000 UTC m=+11.922994214,1000,1,491.879µs,114.093749ms,48.333µs,2033.0176170145426,497.600457ms
2024-01-09 08:59:01.6701415 +0000 UTC m=+12.091217714,1000,2,330.337µs,4.133125ms,87.792µs,3027.211458494255,166.491375ms
2024-01-09 08:59:01.774952542 +0000 UTC m=+12.196028756,1000,3,298.101µs,4.0085ms,101.833µs,3354.557821946257,100.915458ms
2024-01-09 08:59:01.883588167 +0000 UTC m=+12.304664381,1000,4,424.492µs,6.559542ms,124.417µs,2355.75166580913,107.358583ms
2024-01-09 08:59:01.97234275 +0000 UTC m=+12.393418923,1000,5,426.703µs,6.572292ms,108.125µs,2343.5482131752574,86.273834ms
2024-01-09 08:59:02.048081792 +0000 UTC m=+12.469158006,1000,6,429.052µs,4.824167ms,112.667µs,2330.7155063066666,73.069208ms
2024-01-09 08:59:02.100650583 +0000 UTC m=+12.521726756,1000,7,343.651µs,1.243125ms,108.125µs,2909.9264198624405,49.82425ms
2024-01-09 08:59:02.156347333 +0000 UTC m=+12.577423548,1000,8,423.489µs,2.850208ms,101.042µs,2361.3355744234036,54.29ms
2024-01-09 08:59:02.195096417 +0000 UTC m=+12.616172673,1000,9,331.639µs,1.906792ms,78.625µs,3015.323160686342,37.50375ms
2024-01-09 08:59:02.23011025 +0000 UTC m=+12.651186423,1000,10,334.538µs,1.372792ms,100.25µs,2989.1969525376203,34.161542ms
2024-01-09 08:59:02.262464542 +0000 UTC m=+12.683540756,1000,11,341.649µs,962.792µs,143.458µs,2926.97858417872,31.65825ms
2024-01-09 08:59:02.301400542 +0000 UTC m=+12.722476756,1000,12,427.654µs,1.872834ms,117.5µs,2338.3372917369534,36.477458ms
2024-01-09 08:59:02.332932792 +0000 UTC m=+12.754009006,1000,13,391.155µs,2.232209ms,83.083µs,2556.5274814023874,30.816666ms
2024-01-09 08:59:02.360347375 +0000 UTC m=+12.781423548,1000,14,353.173µs,1.449416ms,108.166µs,2831.4706569684117,26.653667ms
