Timestamp                                              ,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-08 14:42:31.413500305 +0000 UTC m=+0.004045626 ,             0 ,                  0 ,0               ,0            ,0           ,    0                 ,0
2024-01-08 14:42:31.844424389 +0000 UTC m=+0.434969709 ,          1000 ,                  1 ,424.885µs       ,15.391917ms  ,66.083µs    , 2353.5725541506913   ,429.342833ms
2024-01-08 14:42:32.063856722 +0000 UTC m=+0.654402043 ,          1000 ,                  2 ,431.814µs       ,17.695167ms  ,66.25µs     , 2315.8068485735726   ,217.942541ms
2024-01-08 14:42:32.191812972 +0000 UTC m=+0.782358293 ,          1000 ,                  3 ,374.281µs       ,1.560083ms   ,105.083µs   , 2671.7890205769168   ,125.925791ms
2024-01-08 14:42:32.349295708 +0000 UTC m=+0.939635417 ,          1000 ,                  4 ,620.228µs       ,16.502625ms  ,97.583µs    , 1612.307907116715    ,156.276666ms
2024-01-08 14:42:32.439349958 +0000 UTC m=+1.029689709 ,          1000 ,                  5 ,441.446µs       ,1.240834ms   ,98.541µs    , 2265.281975606415    ,89.176417ms
2024-01-08 14:42:32.56422575 +0000 UTC m=+1.154565500  ,          1000 ,                  6 ,738.668µs       ,11.393209ms  ,143.791µs   , 1353.7875579217668   ,124.095792ms
2024-01-08 14:42:32.674830166 +0000 UTC m=+1.265169917 ,          1000 ,                  7 ,748.614µs       ,6.585209ms   ,62.209µs    , 1335.8013652790282   ,109.657583ms
2024-01-08 14:42:32.74370375 +0000 UTC m=+1.334043459  ,          1000 ,                  8 ,529.45µs        ,3.334458ms   ,110.625µs   , 1888.7491969982786   ,67.843667ms
2024-01-08 14:42:32.803956708 +0000 UTC m=+1.394296459 ,          1000 ,                  9 ,526.87µs        ,2.408833ms   ,134.334µs   , 1898.001148750011    ,59.482167ms
2024-01-08 14:42:32.888909958 +0000 UTC m=+1.479249709 ,          1000 ,                 10 ,826.796µs       ,7.893166ms   ,157.917µs   , 1209.486972950842    ,83.800167ms
2024-01-08 14:42:32.965586417 +0000 UTC m=+1.555926167 ,          1000 ,                 11 ,812.379µs       ,4.636875ms   ,141.583µs   , 1230.9516312881833   ,74.986584ms
2024-01-08 14:42:33.044623333 +0000 UTC m=+1.634963042 ,          1000 ,                 12 ,918.73µs        ,5.450209ms   ,180.875µs   , 1088.4581254420038   ,77.824875ms
2024-01-08 14:42:33.153886875 +0000 UTC m=+1.744226626 ,          1000 ,                 13 ,1.390409ms      ,12.373833ms  ,237.417µs   ,  719.2127707596763   ,108.14975ms
2024-01-08 14:42:33.207472 +0000 UTC m=+1.797811751    ,          1000 ,                 14 ,720.71µs        ,2.082709ms   ,246.875µs   , 1387.5192589927867   ,52.401584ms
2024-01-08 14:42:33.258350917 +0000 UTC m=+1.848690667 ,          1000 ,                 15 ,732.717µs       ,2.699958ms   ,160.916µs   , 1364.7825620028805   ,49.885666ms
2024-01-08 14:42:33.303033583 +0000 UTC m=+1.893373334 ,          1000 ,                 16 ,687.633µs       ,2.654375ms   ,151.834µs   , 1454.2628854497602   ,43.870209ms
2024-01-08 14:42:33.374106792 +0000 UTC m=+1.964446542 ,          1000 ,                 17 ,1.151974ms      ,5.966417ms   ,198µs       ,  868.0751151265306   ,70.074125ms
2024-01-08 14:42:33.415752833 +0000 UTC m=+2.006092542 ,          1000 ,                 18 ,721.704µs       ,2.349ms      ,201.333µs   , 1385.6084474184324   ,40.84ms
2024-01-08 14:42:33.466139792 +0000 UTC m=+2.056479501 ,          1000 ,                 19 ,925.612µs       ,8.304375ms   ,171.792µs   , 1080.365182057031    ,49.452125ms
2024-01-08 14:42:33.526891875 +0000 UTC m=+2.117231584 ,          1000 ,                 20 ,1.171758ms      ,10.36525ms   ,223.375µs   ,  853.4181868602695   ,59.477083ms
2024-01-08 14:42:33.594107459 +0000 UTC m=+2.184447209 ,          1000 ,                 21 ,1.373733ms      ,9.358417ms   ,213.083µs   ,  727.9431751135108   ,66.149208ms
2024-01-08 14:42:33.635310542 +0000 UTC m=+2.225650293 ,          1000 ,                 22 ,852.552µs       ,3.568167ms   ,153.833µs   , 1172.94839531663     ,39.851584ms
2024-01-08 14:42:33.677588 +0000 UTC m=+2.267927751    ,          1000 ,                 23 ,926.634µs       ,4.24425ms    ,143.458µs   , 1079.1735863501851   ,41.152917ms
2024-01-08 14:42:33.719442292 +0000 UTC m=+2.309782043 ,          1000 ,                 24 ,952.487µs       ,3.528125ms   ,206µs       , 1049.882174033349    ,40.904291ms
2024-01-08 14:42:33.79279125 +0000 UTC m=+2.383131001  ,          1000 ,                 25 ,1.793724ms      ,12.80925ms   ,146.375µs   ,  557.4990899900541   ,72.485ms
2024-01-08 14:42:33.838096292 +0000 UTC m=+2.428436001 ,          1000 ,                 26 ,1.098492ms      ,2.634292ms   ,165.166µs   ,  910.3388819055631   ,43.683834ms
2024-01-08 14:42:33.882450042 +0000 UTC m=+2.472789793 ,          1000 ,                 27 ,1.152609ms      ,3.618708ms   ,216.417µs   ,  867.5962424229751   ,43.4275ms
2024-01-08 14:42:34.010842834 +0000 UTC m=+2.601182543 ,          1000 ,                 28 ,3.549911ms      ,97.609959ms  ,194.209µs   ,  281.69715129527475  ,127.487458ms
2024-01-08 14:42:34.045218042 +0000 UTC m=+2.635557834 ,          1000 ,                 29 ,926.442µs       ,2.627083ms   ,202.833µs   , 1079.398151164966    ,33.470042ms
2024-01-08 14:42:34.195608125 +0000 UTC m=+2.785947876 ,          1000 ,                 30 ,4.466509ms      ,121.787959ms ,141.458µs   ,  223.88848646090204  ,149.554041ms
2024-01-08 14:42:34.228129334 +0000 UTC m=+2.818469084 ,          1000 ,                 31 ,940.983µs       ,2.188958ms   ,162.541µs   , 1062.7176622449088   ,31.589375ms
2024-01-08 14:42:34.399068084 +0000 UTC m=+2.989407835 ,          1000 ,                 32 ,5.384135ms      ,130.067125ms ,233µs       ,  185.73083810495018  ,168.831667ms
2024-01-08 14:42:34.442497042 +0000 UTC m=+3.032836793 ,          1000 ,                 33 ,1.068036ms      ,4.4625ms     ,200.708µs   ,  936.2972340361216   ,36.139083ms
2024-01-08 14:42:34.608382334 +0000 UTC m=+3.198722085 ,          1000 ,                 34 ,5.573986ms      ,137.145708ms ,205.375µs   ,  179.40481159169335  ,165.014958ms
2024-01-08 14:42:34.643586876 +0000 UTC m=+3.233926626 ,          1000 ,                 35 ,1.138471ms      ,3.198584ms   ,282.417µs   ,  878.3708716309914   ,33.306209ms
2024-01-08 14:42:34.676530667 +0000 UTC m=+3.266870418 ,          1000 ,                 36 ,1.100367ms      ,3.513625ms   ,236.375µs   ,  908.7869256474696   ,31.907167ms
2024-01-08 14:42:34.834519876 +0000 UTC m=+3.424859626 ,          1000 ,                 37 ,5.751355ms      ,127.476583ms ,250.833µs   ,  173.87205273360757  ,156.664625ms
2024-01-08 14:42:34.898331834 +0000 UTC m=+3.488671543 ,          1000 ,                 38 ,2.262797ms      ,14.168041ms  ,221.25µs    ,  441.9307734349213   ,61.742084ms
2024-01-08 14:42:35.026334709 +0000 UTC m=+3.616674460 ,          1000 ,                 39 ,4.871552ms      ,93.624708ms  ,230.542µs   ,  205.27336973926066  ,125.940667ms
2024-01-08 14:42:35.076926209 +0000 UTC m=+3.667265960 ,          1000 ,                 40 ,1.78665ms       ,12.947625ms  ,183.125µs   ,  559.7064687037424   ,47.523625ms
2024-01-08 14:42:35.250189543 +0000 UTC m=+3.840529293 ,          1000 ,                 41 ,6.901323ms      ,136.592084ms ,229µs       ,  144.8997432011403   ,170.727459ms
2024-01-08 14:42:35.280391543 +0000 UTC m=+3.870731293 ,          1000 ,                 42 ,1.158006ms      ,2.837291ms   ,210.5µs     ,  863.5530372449173   ,28.62075ms
2024-01-08 14:42:35.494958543 +0000 UTC m=+4.085298293 ,          1000 ,                 43 ,9.106399ms      ,184.451666ms ,243.584µs   ,  109.81288510092621  ,212.584541ms
2024-01-08 14:42:35.559466959 +0000 UTC m=+4.149806710 ,          1000 ,                 44 ,2.536741ms      ,10.9985ms    ,292.375µs   ,  394.2065245743152   ,60.544041ms
2024-01-08 14:42:35.619791293 +0000 UTC m=+4.210131043 ,          1000 ,                 45 ,2.495618ms      ,9.083417ms   ,316.5µs     ,  400.7022110706334   ,56.777458ms
2024-01-08 14:42:35.752625335 +0000 UTC m=+4.342965085 ,          1000 ,                 46 ,5.985344ms      ,58.860584ms  ,282.084µs   ,  167.07475901771645  ,131.223001ms
2024-01-08 14:42:35.788962501 +0000 UTC m=+4.379302210 ,          1000 ,                 47 ,1.579561ms      ,4.051666ms   ,376.375µs   ,  633.0871273744211   ,35.073875ms
2024-01-08 14:42:35.95057271 +0000 UTC m=+4.540912460  ,          1000 ,                 48 ,7.581975ms      ,126.777708ms ,253.125µs   ,  131.89173999680898  ,159.992417ms
