Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-09 09:05:00.653155972 +0000 UTC m=+64.667349697,0,0,0,0,0,0,0
2024-01-09 09:06:30.91720318 +0000 UTC m=+29.508121682,0,0,0,0,0,0,0
2024-01-09 09:06:31.40544075 +0000 UTC m=+29.995939056,1000,1,467.423µs,31.776667ms,57.167µs,2139.385761766906,472.276333ms
2024-01-09 09:06:31.8260415 +0000 UTC m=+30.416539806,1000,2,820.864µs,10.263917ms,54.334µs,1218.2284883380094,414.074417ms
2024-01-09 09:06:32.011050041 +0000 UTC m=+30.601548306,1000,3,539.932µs,15.45575ms,115.042µs,1852.0830569832488,181.423541ms
2024-01-09 09:06:32.1685785 +0000 UTC m=+30.759076807,1000,4,616.068µs,26.819125ms,78µs,1623.1960586254525,155.317334ms
2024-01-09 09:06:32.237561417 +0000 UTC m=+30.828059682,1000,5,306.739µs,3.154958ms,121.667µs,3260.0975351416423,68.06175ms
2024-01-09 09:06:32.299786792 +0000 UTC m=+30.890285098,1000,6,362.29µs,3.208833ms,103.25µs,2760.217793549687,61.353417ms
2024-01-09 09:06:32.346806542 +0000 UTC m=+30.937304848,1000,7,317.278µs,1.433083ms,82.333µs,3151.8079785447103,46.166291ms
2024-01-09 09:06:32.393723375 +0000 UTC m=+30.984221682,1000,8,362.409µs,1.834833ms,115µs,2759.3068702817336,46.177833ms
2024-01-09 09:06:32.44236375 +0000 UTC m=+31.032862015,1000,9,412.909µs,2.646041ms,107.958µs,2421.8358591591914,47.295417ms
2024-01-09 09:06:32.513788208 +0000 UTC m=+31.104286473,1000,10,698.393µs,4.553666ms,132.75µs,1431.8583781180928,70.63925ms
2024-01-09 09:06:32.556854833 +0000 UTC m=+31.147353098,1000,11,450.062µs,2.305542ms,111.042µs,2221.9121815339936,41.700833ms
2024-01-09 09:06:32.600993125 +0000 UTC m=+31.191491432,1000,12,500.434µs,1.54025ms,172.5µs,1998.2633452953442,42.650375ms
2024-01-09 09:06:32.639029708 +0000 UTC m=+31.229527973,1000,13,460.855µs,2.259875ms,91.375µs,2169.877194541646,36.178042ms
2024-01-09 09:06:32.673436833 +0000 UTC m=+31.263935140,1000,14,447.531µs,1.405375ms,72.167µs,2234.4780512997145,32.582625ms
2024-01-09 09:06:32.717810458 +0000 UTC m=+31.308308765,1000,15,592.516µs,3.753208ms,115.417µs,1687.7166165290503,40.40875ms
2024-01-09 09:06:32.76996775 +0000 UTC m=+31.360466015,1000,16,779.586µs,4.765667ms,133.75µs,1282.7320394563194,49.324792ms
2024-01-09 09:06:32.822942459 +0000 UTC m=+31.413440765,1000,17,794.595µs,5.982375ms,90.542µs,1258.5021162329751,50.645041ms
2024-01-09 09:06:32.87454375 +0000 UTC m=+31.465042057,1000,18,904.831µs,6.207625ms,164.708µs,1105.1781317713435,50.763292ms
2024-01-09 09:06:32.918211375 +0000 UTC m=+31.508709682,1000,19,730.204µs,3.427958ms,115.916µs,1369.4785204100383,39.414792ms
2024-01-09 09:06:32.954268667 +0000 UTC m=+31.544766974,1000,20,669.844µs,2.625917ms,203.917µs,1492.8836869582408,34.16125ms
2024-01-09 09:06:32.984191 +0000 UTC m=+31.574689307,1000,21,591.063µs,1.884292ms,166.417µs,1691.8660642486543,28.908042ms
2024-01-09 09:06:33.013843042 +0000 UTC m=+31.604341349,1000,22,607.224µs,2.408042ms,146.958µs,1646.8378984816197,28.169083ms
2024-01-09 09:06:33.049475625 +0000 UTC m=+31.639973932,1000,23,765.205µs,4.405541ms,183.042µs,1306.8380816208175,34.554583ms
2024-01-09 09:06:33.09733875 +0000 UTC m=+31.687837057,1000,24,1.007284ms,5.434667ms,134.416µs,992.7678529760685,42.643958ms
2024-01-09 09:06:33.140992209 +0000 UTC m=+31.731490515,1000,25,933.707µs,4.7385ms,205.416µs,1070.9996054865853,38.065125ms
