Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput,Time Elapsed
2024-01-01 15:35:52.839885873 +0000 UTC m=+5.596725086,0,0,0,0,0,0,0
2024-01-01 15:35:59.14050089 +0000 UTC m=+11.897340103,100000,50,3.082759ms,13.390934ms,346.8µs,3.2438474755892366e+07,6.300483587s
2024-01-01 15:36:05.435113873 +0000 UTC m=+18.191953076,100000,51,3.15409ms,16.354017ms,322.039µs,3.1704865745745998e+07,6.294520943s
2024-01-01 15:36:11.714813146 +0000 UTC m=+24.471652359,100000,52,3.199874ms,13.999902ms,355.459µs,3.1251230517201614e+07,6.279619633s
2024-01-01 15:36:17.817915277 +0000 UTC m=+30.574754490,100000,53,3.167083ms,14.463312ms,285.979µs,3.1574796113647796e+07,6.103017401s
2024-01-01 15:36:23.971693003 +0000 UTC m=+36.728532236,100000,54,3.249542ms,12.496757ms,336.829µs,3.0773567475047253e+07,6.153698496s
2024-01-01 15:36:29.957083893 +0000 UTC m=+42.713923096,100000,55,3.21396ms,11.408755ms,273.38µs,3.1114264023198795e+07,5.985423779s
2024-01-01 15:36:35.948656994 +0000 UTC m=+48.705496207,100000,56,3.283359ms,13.541849ms,338.44µs,3.045661470463632e+07,5.991470991s
2024-01-01 15:36:41.872676581 +0000 UTC m=+54.629515784,100000,57,3.300484ms,13.253139ms,337.46µs,3.029858651034212e+07,5.923948337s
2024-01-01 15:36:47.699594145 +0000 UTC m=+60.456433348,100000,58,3.31224ms,14.032899ms,329.6µs,3.019104895780499e+07,5.826881874s
2024-01-01 15:36:53.637604591 +0000 UTC m=+66.394443794,100000,59,3.436776ms,12.520799ms,315.82µs,2.9097037456034377e+07,5.937925686s
2024-01-01 15:36:59.434946218 +0000 UTC m=+72.191785431,100000,60,3.398815ms,12.988609ms,283.05µs,2.942201914490786e+07,5.797304197s
2024-01-01 15:37:05.30095864 +0000 UTC m=+78.057797843,100000,61,3.492147ms,11.973599ms,324.18µs,2.8635678853152514e+07,5.864896602s
2024-01-01 15:37:14.101822635 +0000 UTC m=+86.858661838,100000,62,5.341111ms,136.211073ms,300.049µs,1.8722696457721997e+07,8.800859126s
2024-01-01 15:37:26.083265902 +0000 UTC m=+98.840105116,100000,63,7.346337ms,138.179722ms,349.11µs,1.3612226065861123e+07,11.981381587s
2024-01-01 15:37:38.064920419 +0000 UTC m=+110.821759632,100000,64,7.426422ms,137.019332ms,380.15µs,1.3465434633259462e+07,11.981583386s
2024-01-01 15:37:49.855013374 +0000 UTC m=+122.611852588,100000,65,7.478107ms,136.053141ms,297.92µs,1.3372368167505492e+07,11.789974164s
2024-01-01 15:38:01.58981363 +0000 UTC m=+134.346652833,100000,66,7.638529ms,138.036352ms,333.32µs,1.3091525868396914e+07,11.734759736s
2024-01-01 15:38:13.356592456 +0000 UTC m=+146.113431669,100000,67,7.71798ms,137.086602ms,306.25µs,1.2956758115465445e+07,11.766699796s
2024-01-01 15:38:25.133674717 +0000 UTC m=+157.890513950,100000,68,7.860501ms,140.663445ms,427.281µs,1.2721835414816434e+07,11.777044161s
2024-01-01 15:38:37.094887112 +0000 UTC m=+169.851726315,100000,69,8.079654ms,140.177036ms,387.94µs,1.2376767619009428e+07,11.961120645s
2024-01-01 15:38:48.802205141 +0000 UTC m=+181.559044354,100000,70,7.906595ms,136.590511ms,323.83µs,1.2647669445570437e+07,11.707252199s
2024-01-01 15:39:00.408727436 +0000 UTC m=+193.165566648,100000,71,8.028481ms,139.588983ms,333.24µs,1.2455656306591496e+07,11.606506224s
2024-01-01 15:39:12.378917521 +0000 UTC m=+205.135756734,100000,72,8.42695ms,136.019271ms,347.9µs,1.1866689608933242e+07,11.970134996s
2024-01-01 15:39:24.672108068 +0000 UTC m=+217.428947271,100000,73,8.790382ms,143.413901ms,328.04µs,1.1376069890933068e+07,12.293151577s
2024-01-01 15:39:37.053994899 +0000 UTC m=+229.810834102,100000,74,8.856237ms,142.766026ms,398.42µs,1.1291477407390973e+07,12.381856221s
2024-01-01 15:39:49.121231092 +0000 UTC m=+241.878070325,100000,75,8.825976ms,144.383539ms,332.87µs,1.1330191697779374e+07,12.067196073s
2024-01-01 15:40:01.346728985 +0000 UTC m=+254.103568188,100000,76,8.974477ms,143.793409ms,330.29µs,1.1142710600294592e+07,12.225392962s
2024-01-01 15:40:13.610630604 +0000 UTC m=+266.367469807,100000,77,9.190349ms,140.791836ms,344.351µs,1.088097960153635e+07,12.263819849s
2024-01-01 15:40:25.876878305 +0000 UTC m=+278.633717518,100000,78,9.223182ms,141.557266ms,357.36µs,1.084224511670701e+07,12.26620787s
2024-01-01 15:40:37.874674604 +0000 UTC m=+290.631513817,100000,79,9.172179ms,149.138149ms,420.791µs,1.0902534719394377e+07,11.997743089s
2024-01-01 15:40:50.050850728 +0000 UTC m=+302.807689931,100000,80,9.305867ms,144.385488ms,364.2µs,1.0745909005576804e+07,12.176161614s
2024-01-01 15:41:02.088895728 +0000 UTC m=+314.845734941,100000,81,9.449698ms,143.307275ms,380.64µs,1.058234876924109e+07,12.03798977s
2024-01-01 15:41:14.109172571 +0000 UTC m=+326.866011784,100000,82,9.609076ms,142.939849ms,325.28µs,1.040682787814354e+07,12.020210183s
2024-01-01 15:41:26.340481665 +0000 UTC m=+339.097320868,100000,83,9.925632ms,144.207884ms,302.67µs,1.0074925203755287e+07,12.231246424s
2024-01-01 15:41:38.340104099 +0000 UTC m=+351.096943312,100000,84,9.790801ms,147.301846ms,370.6µs,1.0213668932705302e+07,11.999580194s
2024-01-01 15:41:50.35644725 +0000 UTC m=+363.113286462,100000,85,9.931766ms,142.866489ms,379.26µs,1.0068702786594046e+07,12.016312291s
2024-01-01 15:42:02.333163603 +0000 UTC m=+375.090002816,100000,86,10.105643ms,141.111561ms,291.571µs,9.89546137737104e+06,11.976596744s
