Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-14 12:08:10.683010457 +0000 UTC m=+9.877566962,0,0,0,0,0,0,0
2024-05-14 12:09:13.120613638 +0000 UTC m=+72.315170144,100000,1,666.815µs,5.700699ms,373.339µs,1631.1697297469339,1m2.434747912s
2024-05-14 12:09:46.695077496 +0000 UTC m=+105.889634002,100000,2,661.504µs,5.01283ms,357.12µs,1511.706379990669,33.572333598s
2024-05-14 12:10:12.330538713 +0000 UTC m=+131.525095219,100000,3,758.316µs,5.021141ms,355.17µs,1318.710887535609,25.633295797s
2024-05-14 12:10:33.118976177 +0000 UTC m=+152.313532683,100000,4,820.343µs,5.101161ms,353.7µs,1219.0010316869195,20.786266304s
2024-05-14 12:10:51.415803284 +0000 UTC m=+170.610359790,100000,5,902.789µs,5.585931ms,373.77µs,1107.677499082976,18.294271996s
2024-05-14 12:11:08.011010703 +0000 UTC m=+187.205567209,100000,6,982.682µs,5.24725ms,379.25µs,1017.622733183797,16.593005489s
2024-05-14 12:11:23.472144267 +0000 UTC m=+202.666700774,100000,7,1.068984ms,6.321051ms,378.69µs,935.4669881242561,15.458833494s
2024-05-14 12:11:37.738910978 +0000 UTC m=+216.933467484,100000,8,1.127219ms,7.156471ms,383.9µs,887.138385132614,14.26466503s
2024-05-14 12:11:51.415300804 +0000 UTC m=+230.609857310,100000,9,1.215798ms,8.634991ms,399.22µs,822.5046963972144,13.674287476s
2024-05-14 12:12:04.40805897 +0000 UTC m=+243.602615476,100000,10,1.283132ms,8.36846ms,396.45µs,779.342673837978,12.990349476s
2024-05-14 12:12:16.715422699 +0000 UTC m=+255.909979206,100000,11,1.336831ms,6.68137ms,393.051µs,748.0374267269444,12.305179499s
2024-05-14 12:12:28.525493944 +0000 UTC m=+267.720050449,100000,12,1.400067ms,6.82793ms,375.85µs,714.2513982915589,11.807370334s
2024-05-14 12:12:40.104696322 +0000 UTC m=+279.299252848,100000,13,1.487269ms,9.039271ms,391.07µs,672.3730920923159,11.577190779s
2024-05-14 12:12:51.283433623 +0000 UTC m=+290.477990129,100000,14,1.546237ms,10.00538ms,420.86µs,646.7312800319569,11.176463751s
2024-05-14 12:13:02.273483651 +0000 UTC m=+301.468040147,100000,15,1.628566ms,13.357594ms,456.781µs,614.0371260904078,10.987972627s
2024-05-14 12:13:13.012993501 +0000 UTC m=+312.207549997,100000,16,1.697595ms,11.835523ms,385.8µs,589.0685435062722,10.737107799s
2024-05-14 12:13:23.553734287 +0000 UTC m=+322.748290793,100000,17,1.769368ms,8.574862ms,418.38µs,565.173442997472,10.538524006s
2024-05-14 12:13:33.788264711 +0000 UTC m=+332.982821216,100000,18,1.820119ms,10.402382ms,425.02µs,549.4143931715747,10.232214663s
2024-05-14 12:13:43.890531388 +0000 UTC m=+343.085087884,100000,19,1.895789ms,11.897174ms,455.27µs,527.4847189868609,10.098945647s
2024-05-14 12:13:53.872160365 +0000 UTC m=+353.066716871,100000,20,1.97039ms,16.441545ms,467.07µs,507.5135290264716,9.979470607s
2024-05-14 12:14:03.699890742 +0000 UTC m=+362.894447248,100000,21,2.037204ms,12.391721ms,423.56µs,490.8687260996471,9.825716697s
2024-05-14 12:14:13.475294638 +0000 UTC m=+372.669851164,100000,22,2.122834ms,12.549299ms,472.08µs,471.0683084556861,9.771862356s
2024-05-14 12:14:23.272808535 +0000 UTC m=+382.467365041,100000,23,2.223871ms,12.59255ms,485.07µs,449.66617465112654,9.795368417s
2024-05-14 12:14:32.77419851 +0000 UTC m=+391.968755006,100000,24,2.250781ms,15.48759ms,447.81µs,444.2901291479636,9.498724705s
2024-05-14 12:14:42.274043104 +0000 UTC m=+401.468599610,100000,25,2.345284ms,10.93379ms,459.32µs,426.38741792490725,9.497710945s
2024-05-14 12:14:51.561198758 +0000 UTC m=+410.755755264,100000,26,2.384538ms,10.38142ms,494.61µs,419.3684041656848,9.285107653s
2024-05-14 12:15:00.793276161 +0000 UTC m=+419.987832657,100000,27,2.459798ms,14.535877ms,480.1µs,406.53736428479624,9.230054923s
