Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-11 09:28:28.053499621 +0000 UTC m=+78.809343670,0,0,0,0,0,0,0
2024-05-11 09:29:36.218870343 +0000 UTC m=+146.974714381,100000,1,673.174µs,6.311009ms,391.19µs,1485.4999642799874,1m8.163216981s
2024-05-11 09:30:12.424416786 +0000 UTC m=+183.180260844,100000,2,715.241µs,6.63065ms,374.42µs,1398.1299419108,36.203345923s
2024-05-11 09:30:39.731201048 +0000 UTC m=+210.487045095,100000,3,809.504µs,6.19857ms,361.86µs,1235.324279004924,27.304117182s
2024-05-11 09:31:02.490965823 +0000 UTC m=+233.246809881,100000,4,900.149µs,8.12773ms,364.01µs,1110.92700138835,22.757106835s
2024-05-11 09:31:22.714792755 +0000 UTC m=+253.470636803,100000,5,1.000128ms,6.96576ms,366.62µs,999.8714883573649,20.221635582s
2024-05-11 09:31:40.981292787 +0000 UTC m=+271.737136835,100000,6,1.084488ms,7.9258ms,392.59µs,922.0934436228503,18.264386771s
2024-05-11 09:31:57.831976353 +0000 UTC m=+288.587820401,100000,7,1.167327ms,8.59178ms,368.37µs,856.6577977701544,16.848669756s
2024-05-11 09:32:13.637913581 +0000 UTC m=+304.393757629,100000,8,1.251845ms,9.075419ms,411.51µs,798.8203365018907,15.803879038s
2024-05-11 09:32:28.505843743 +0000 UTC m=+319.261687791,100000,9,1.32499ms,8.315009ms,405.73µs,754.722302311636,14.865938533s
2024-05-11 09:32:42.929332597 +0000 UTC m=+333.685176645,100000,10,1.428508ms,7.878359ms,406.38µs,700.0307700212037,14.421427064s
2024-05-11 09:32:56.909268651 +0000 UTC m=+347.665112729,100000,11,1.522765ms,9.84837ms,440.89µs,656.7000844141963,13.977868865s
2024-05-11 09:33:10.237176037 +0000 UTC m=+360.993020085,100000,12,1.583785ms,10.955279ms,411.21µs,631.3984803396286,13.325879116s
2024-05-11 09:33:23.163651552 +0000 UTC m=+373.919495590,100000,13,1.664549ms,10.167869ms,393.25µs,600.7630308568904,12.924344375s
2024-05-11 09:33:35.784567761 +0000 UTC m=+386.540411809,100000,14,1.749858ms,9.59328ms,420.67µs,571.474623498844,12.61877175s
2024-05-11 09:33:48.133249804 +0000 UTC m=+398.889093851,100000,15,1.834485ms,10.87896ms,473.51µs,545.1118285783782,12.346552123s
2024-05-11 09:34:00.39401146 +0000 UTC m=+411.149855518,100000,16,1.942584ms,11.66757ms,456.98µs,514.7779921251501,12.258372337s
2024-05-11 09:34:12.469425093 +0000 UTC m=+423.225269140,100000,17,2.033303ms,11.545789ms,433.93µs,491.81049521338883,12.073329323s
2024-05-11 09:34:24.229158518 +0000 UTC m=+434.985002566,100000,18,2.097335ms,14.008709ms,464.18µs,476.7954465202869,11.757597205s
2024-05-11 09:34:35.994838314 +0000 UTC m=+446.750682362,100000,19,2.213822ms,14.122349ms,467.25µs,451.70748655833233,11.763585585s
2024-05-11 09:34:47.628355712 +0000 UTC m=+458.384199750,100000,20,2.305439ms,13.955978ms,422.269µs,433.7566898847537,11.631466618s
2024-05-11 09:34:59.16675111 +0000 UTC m=+469.922595158,100000,21,2.399434ms,12.918089ms,444.38µs,416.7649223277518,11.535856928s
2024-05-11 09:35:10.589632043 +0000 UTC m=+481.345476101,100000,22,2.490869ms,13.233729ms,440.7µs,401.46618741095836,11.420740523s
2024-05-11 09:35:21.9288154 +0000 UTC m=+492.684659449,100000,23,2.5834ms,12.786539ms,508.82µs,387.08671996612344,11.337070638s
