Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-10 11:28:36.084103011 +0000 UTC m=+9.349868208,0,0,0,0,0,0,0
2024-05-10 11:30:13.705470592 +0000 UTC m=+79.890856228,0,0,0,0,0,0,0
2024-05-10 11:31:19.505987944 +0000 UTC m=+145.691373580,100000,1,647.552µs,5.068285ms,385.211µs,1544.2757727871028,1m5.796988597s
2024-05-10 11:31:53.235911638 +0000 UTC m=+179.421297273,100000,2,662.309µs,5.303312ms,357.962µs,1509.8687823667146,33.724424543s
2024-05-10 11:32:18.545384892 +0000 UTC m=+204.730770528,100000,3,747.083µs,5.259243ms,353.261µs,1338.5380575820486,25.306022423s
2024-05-10 11:32:39.426487157 +0000 UTC m=+225.611872793,100000,4,823.049µs,6.771584ms,355.466µs,1214.9930744032752,20.877481592s
2024-05-10 11:32:57.979352871 +0000 UTC m=+244.164738506,100000,5,914.878µs,7.00127ms,355.459µs,1093.0410964757227,18.549450949s
2024-05-10 11:33:14.75327329 +0000 UTC m=+260.938658927,100000,6,993.145µs,5.351969ms,372.689µs,1006.9020437710622,16.770375258s
2024-05-10 11:33:30.154943727 +0000 UTC m=+276.340329362,100000,7,1.064512ms,5.736454ms,374.458µs,939.3969681088283,15.398211938s
2024-05-10 11:33:44.636560031 +0000 UTC m=+290.821945669,100000,8,1.144199ms,13.148795ms,371.599µs,873.9737179143389,14.478225134s
2024-05-10 11:33:58.404909933 +0000 UTC m=+304.590295572,100000,9,1.224018ms,8.360704ms,386.817µs,816.98090019428,13.764797198s
2024-05-10 11:34:11.54379501 +0000 UTC m=+317.729180646,100000,10,1.297823ms,18.035902ms,382.307µs,770.5206448779558,13.135363658s
2024-05-10 11:34:24.221591838 +0000 UTC m=+330.406977474,100000,11,1.378346ms,8.260376ms,392.212µs,725.5068845714553,12.67421755s
2024-05-10 11:34:36.377558211 +0000 UTC m=+342.562943848,100000,12,1.441404ms,8.424152ms,369.189µs,693.7679202463016,12.151117168s
2024-05-10 11:34:48.070629202 +0000 UTC m=+354.256014837,100000,13,1.501717ms,10.160895ms,389.651µs,665.9040230903518,11.689554113s
2024-05-10 11:34:59.505534389 +0000 UTC m=+365.690920024,100000,14,1.580605ms,14.939383ms,407.275µs,632.6687536791834,11.431444888s
2024-05-10 11:35:10.729525918 +0000 UTC m=+376.914911552,100000,15,1.662976ms,10.503348ms,389.745µs,601.3315464278792,11.220439373s
2024-05-10 11:35:21.671966194 +0000 UTC m=+387.857351830,100000,16,1.729061ms,13.462958ms,410.401µs,578.3485320684797,10.93900048s
