Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-01 08:52:06.736348029 +0000 UTC m=+20.513272193,0,0,0,0,0,0,0
2024-02-01 08:52:39.734092993 +0000 UTC m=+53.511017157,100000,1,325.682µs,4.365635ms,182.747µs,3070.471393738757,32.993629227s
2024-02-01 08:52:59.726659149 +0000 UTC m=+73.503583313,100000,2,394.305µs,9.746787ms,179.223µs,2536.1038518138002,19.987164285s
2024-02-01 08:53:13.860251506 +0000 UTC m=+87.637175674,100000,3,417.953µs,3.771014ms,170.027µs,2392.608452118234,14.129089388s
2024-02-01 08:53:25.156862116 +0000 UTC m=+98.933786280,100000,4,445.62µs,5.815477ms,179.842µs,2244.0634076695874,11.293070601s
2024-02-01 08:53:35.051165228 +0000 UTC m=+108.828089396,100000,5,487.55µs,3.224829ms,162.28µs,2051.069391064287,9.890616265s
2024-02-01 08:53:43.840470333 +0000 UTC m=+117.617394501,100000,6,519.553µs,3.081297ms,184.592µs,1924.7291434791512,8.785643144s
2024-02-01 08:53:52.233954613 +0000 UTC m=+126.010878781,100000,7,579.329µs,12.951647ms,181.508µs,1726.1338783278566,8.389773741s
2024-02-01 08:54:00.106247498 +0000 UTC m=+133.883171662,100000,8,621.012µs,5.322461ms,174.303µs,1610.27439493878,7.868749604s
2024-02-01 08:54:07.443588562 +0000 UTC m=+141.220512726,100000,9,651.235µs,6.068657ms,193.816µs,1535.542287669763,7.333860111s
2024-02-01 08:54:14.380874357 +0000 UTC m=+148.157798521,100000,10,683.405µs,7.573003ms,201.494µs,1463.2595730575856,6.933764957s
2024-02-01 08:54:20.840464212 +0000 UTC m=+154.617388379,100000,11,700.204µs,4.246973ms,196.401µs,1428.1546741858592,6.455890168s
2024-02-01 08:54:27.219498033 +0000 UTC m=+160.996422197,100000,12,753.878µs,4.13227ms,193.526µs,1326.4733687211585,6.3753193s
2024-02-01 08:54:33.179827881 +0000 UTC m=+166.956752045,100000,13,762.755µs,6.464466ms,204.282µs,1311.0358570646974,5.956827526s
2024-02-01 08:54:39.049913032 +0000 UTC m=+172.826837199,100000,14,808.406µs,4.65623ms,188.523µs,1237.0020125403375,5.8665339s
2024-02-01 08:54:44.635769528 +0000 UTC m=+178.412693696,100000,15,824.456µs,6.77966ms,219.023µs,1212.9203585340754,5.582229765s
2024-02-01 08:54:50.027623791 +0000 UTC m=+183.804547955,100000,16,848.557µs,5.78555ms,234.489µs,1178.4705579610495,5.388069911s
2024-02-01 08:54:55.341840092 +0000 UTC m=+189.118764257,100000,17,887.367µs,5.28758ms,232.307µs,1126.9291259089487,5.310673869s
2024-02-01 08:55:00.502223229 +0000 UTC m=+194.279147394,100000,18,911.978µs,5.484914ms,195.952µs,1096.5171125829859,5.156861259s
2024-02-01 08:55:05.529378227 +0000 UTC m=+199.306302391,100000,19,937.597µs,6.572476ms,222.701µs,1066.5553574114474,5.022260049s
2024-02-01 08:55:10.443855143 +0000 UTC m=+204.220779308,100000,20,964.556µs,5.254347ms,224.434µs,1036.7455243100003,4.909954104s
2024-02-01 08:55:15.231128024 +0000 UTC m=+209.008052197,100000,21,985.453µs,7.182923ms,232.96µs,1014.7617250747892,4.783753359s
2024-02-01 08:55:19.903160066 +0000 UTC m=+213.680084230,100000,22,1.008568ms,7.547788ms,222.226µs,991.5041037732636,4.668172123s
2024-02-01 08:55:24.599472386 +0000 UTC m=+218.376396550,100000,23,1.059058ms,7.269015ms,250.558µs,944.2353040416244,4.692622206s
2024-02-01 08:55:29.081826593 +0000 UTC m=+222.858750762,100000,24,1.053293ms,5.187403ms,211.367µs,949.4027253912997,4.4767889s
2024-02-01 08:55:33.465892688 +0000 UTC m=+227.242816851,100000,25,1.07189ms,6.508258ms,224.098µs,932.9308661168089,4.379511355s
2024-02-01 08:55:37.77822932 +0000 UTC m=+231.555153485,100000,26,1.100483ms,7.739405ms,232.342µs,908.6919011801498,4.308760063s
2024-02-01 08:55:42.038423355 +0000 UTC m=+235.815347519,100000,27,1.12691ms,6.530051ms,248.555µs,887.3820718599328,4.256588841s
2024-02-01 08:55:46.219134469 +0000 UTC m=+239.996058634,100000,28,1.144997ms,5.376516ms,227.237µs,873.3644696372311,4.176880902s
2024-02-01 08:55:50.378486435 +0000 UTC m=+244.155410600,100000,29,1.180581ms,6.523295ms,229.205µs,847.0401664449269,4.15548137s
2024-02-01 08:55:54.443478293 +0000 UTC m=+248.220402457,100000,30,1.193612ms,5.543976ms,219.268µs,837.7928747287503,4.059736631s
2024-02-01 08:55:58.417391552 +0000 UTC m=+252.194315716,100000,31,1.205314ms,4.683955ms,222.869µs,829.6588685299139,3.970337851s
2024-02-01 08:56:02.397204199 +0000 UTC m=+256.174128364,100000,32,1.24528ms,5.514742ms,237.858µs,803.0318935542062,3.976238425s
2024-02-01 08:56:06.329843935 +0000 UTC m=+260.106768099,100000,33,1.268321ms,6.632049ms,237.367µs,788.4437892895446,3.928427868s
2024-02-01 08:56:10.254097553 +0000 UTC m=+264.031021718,100000,34,1.305275ms,6.086341ms,241.086µs,766.12196226341,3.91973227s
2024-02-01 08:56:14.065081627 +0000 UTC m=+267.842005791,100000,35,1.304484ms,7.296795ms,249.734µs,766.5860633456691,3.807369368s
2024-02-01 08:56:17.875941648 +0000 UTC m=+271.652865812,100000,36,1.340921ms,6.48695ms,195.8µs,745.7560540020994,3.807166236s
2024-02-01 08:56:21.734157215 +0000 UTC m=+275.511081379,100000,37,1.397168ms,6.626033ms,253.316µs,715.7334109352646,3.854720801s
2024-02-01 08:56:25.505745398 +0000 UTC m=+279.282669562,100000,38,1.397547ms,6.6223ms,207.447µs,715.5391896538468,3.767959746s
2024-02-01 08:56:29.238224687 +0000 UTC m=+283.015148857,100000,39,1.421026ms,9.791306ms,243.283µs,703.716720029207,3.728829109s
2024-02-01 08:56:32.872486422 +0000 UTC m=+286.649410588,100000,40,1.42046ms,7.78247ms,271.265µs,703.997193538279,3.630612132s
2024-02-01 08:56:36.575510564 +0000 UTC m=+290.352434732,100000,41,1.482108ms,10.573421ms,260.251µs,674.7144738574963,3.69896465s
2024-02-01 08:56:40.161413778 +0000 UTC m=+293.938337942,100000,42,1.470393ms,8.07423ms,259.605µs,680.0902142835747,3.582190875s
2024-02-01 08:56:43.654524354 +0000 UTC m=+297.431448521,100000,43,1.46443ms,7.754483ms,279.043µs,682.8594408140358,3.489549935s
2024-02-01 08:56:47.252104017 +0000 UTC m=+301.029028184,100000,44,1.542941ms,6.214741ms,222.509µs,648.1125799301964,3.593947322s
2024-02-01 08:56:50.783984348 +0000 UTC m=+304.560908513,100000,45,1.550733ms,5.605021ms,257.195µs,644.8561718945167,3.526743928s
2024-02-01 08:56:54.217802453 +0000 UTC m=+307.994726617,100000,46,1.537488ms,6.170395ms,267.177µs,650.4112601386847,3.430140277s
2024-02-01 08:56:57.656766694 +0000 UTC m=+311.433690858,100000,47,1.576491ms,8.671761ms,267.273µs,634.3197903483516,3.435199541s
2024-02-01 08:57:01.04952294 +0000 UTC m=+314.826447105,100000,48,1.584448ms,7.251081ms,259.459µs,631.1345791530473,3.389174466s
2024-02-01 08:57:04.395691612 +0000 UTC m=+318.172615782,100000,49,1.597741ms,8.397512ms,284.024µs,625.8834200599194,3.342685717s
2024-02-01 08:57:07.77313456 +0000 UTC m=+321.550058725,100000,50,1.646889ms,6.192459ms,280.02µs,607.2053717095021,3.373777504s
2024-02-01 08:57:11.134118873 +0000 UTC m=+324.911043038,100000,51,1.671165ms,6.90297ms,284.902µs,598.3846624109433,3.356721822s
2024-02-01 08:57:14.386808154 +0000 UTC m=+328.163732318,100000,52,1.650275ms,9.127224ms,274.743µs,605.9593502972411,3.248935344s
2024-02-01 08:57:17.587665692 +0000 UTC m=+331.364589856,100000,53,1.653579ms,6.79705ms,270.024µs,604.7485993233076,3.197342299s
2024-02-01 08:57:20.713188611 +0000 UTC m=+334.490112780,100000,54,1.644427ms,8.179212ms,288.691µs,608.1142544203669,3.121888819s
2024-02-01 08:57:23.911786484 +0000 UTC m=+337.688710649,100000,55,1.719436ms,9.072459ms,267.897µs,581.5857480378893,3.194910066s
2024-02-01 08:57:27.083856709 +0000 UTC m=+340.860780873,100000,56,1.730613ms,6.918634ms,268.729µs,577.8296524920996,3.168159767s
2024-02-01 08:57:30.288141109 +0000 UTC m=+344.065065273,100000,57,1.781912ms,9.016697ms,311.915µs,561.1948845696529,3.200780148s
2024-02-01 08:57:33.381047521 +0000 UTC m=+347.157971688,100000,58,1.749051ms,6.683257ms,273.398µs,571.7384210408161,3.089240898s
2024-02-01 08:57:36.563965105 +0000 UTC m=+350.340889269,100000,59,1.830421ms,7.954461ms,327.735µs,546.3221095834691,3.179178716s
2024-02-01 08:57:39.650544508 +0000 UTC m=+353.427468672,100000,60,1.806093ms,7.267719ms,274.639µs,553.6811696423541,3.082872658s
2024-02-01 08:57:42.786167681 +0000 UTC m=+356.563091845,100000,61,1.860849ms,9.270551ms,293.479µs,537.3890072741499,3.131782194s
2024-02-01 08:57:45.980272214 +0000 UTC m=+359.757196378,100000,62,1.925919ms,8.197798ms,295.88µs,519.2325379045454,3.190357289s
2024-02-01 08:57:49.155864025 +0000 UTC m=+362.932788190,100000,63,1.95047ms,11.969639ms,253.334µs,512.6967089226133,3.17202852s
2024-02-01 08:57:52.27453375 +0000 UTC m=+366.051457914,100000,64,1.939219ms,8.398724ms,288.127µs,515.6713833404727,3.114853179s
2024-02-01 08:57:55.406898802 +0000 UTC m=+369.183822969,100000,65,1.976075ms,9.792857ms,294.568µs,506.0535499402117,3.128271916s
2024-02-01 08:57:58.458358408 +0000 UTC m=+372.235282573,100000,66,1.961962ms,8.025121ms,290.463µs,509.69373179759924,3.046193257s
2024-02-01 08:58:01.498803762 +0000 UTC m=+375.275727925,100000,67,1.980347ms,7.169921ms,321.612µs,504.9618909561656,3.036799762s
2024-02-01 08:58:04.540842914 +0000 UTC m=+378.317767077,100000,68,2.014661ms,8.655798ms,314.243µs,496.3613229233059,3.037610664s
2024-02-01 08:58:07.52677725 +0000 UTC m=+381.303701414,100000,69,2.00698ms,11.975277ms,307.894µs,498.26098041812963,2.981981344s
2024-02-01 08:58:10.481315973 +0000 UTC m=+384.258240137,100000,70,2.014439ms,8.550498ms,294.663µs,496.41598448308224,2.950938244s
2024-02-01 08:58:13.504838884 +0000 UTC m=+387.281763049,100000,71,2.09056ms,9.290835ms,303.359µs,478.34057625093925,3.019945889s
2024-02-01 08:58:16.500118783 +0000 UTC m=+390.277042948,100000,72,2.100322ms,8.143655ms,345.045µs,476.117306627896,2.991759879s
2024-02-01 08:58:19.510129964 +0000 UTC m=+393.287054128,100000,73,2.134946ms,9.232153ms,334.848µs,468.3957422559706,3.005911306s
2024-02-01 08:58:22.467557349 +0000 UTC m=+396.244481513,100000,74,2.127785ms,9.657804ms,316.437µs,469.9722048686587,2.953641031s
2024-02-01 08:58:25.395940744 +0000 UTC m=+399.172864914,100000,75,2.135561ms,8.608762ms,290.856µs,468.26090670917296,2.924802771s
2024-02-01 08:58:28.337425885 +0000 UTC m=+402.114350049,100000,76,2.177673ms,10.402785ms,298.061µs,459.2056765446051,2.93781185s
2024-02-01 08:58:31.247816821 +0000 UTC m=+405.024740985,100000,77,2.170919ms,11.271694ms,312.176µs,460.63425121386075,2.905208035s
2024-02-01 08:58:34.161465263 +0000 UTC m=+407.938389430,100000,78,2.213171ms,8.304599ms,352.543µs,451.84021005817425,2.909023106s
2024-02-01 08:58:37.021896932 +0000 UTC m=+410.798821096,100000,79,2.194867ms,10.533631ms,337.942µs,455.60827563681147,2.856986918s
2024-02-01 08:58:39.871599376 +0000 UTC m=+413.648523540,100000,80,2.212272ms,9.072562ms,294.943µs,452.02382130613114,2.84609232s
