Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-07 08:50:44.520870491 +0000 UTC m=+9.832865646,0,0,0,0,0,0,0
2024-02-07 08:52:47.565710812 +0000 UTC m=+21.010645073,0,0,0,0,0,0,0
2024-02-07 08:53:29.24907238 +0000 UTC m=+62.694006642,100000,1,413.653µs,4.99818ms,188.53µs,2417.4830015268385,41.681182099s
2024-02-07 08:53:51.90197087 +0000 UTC m=+85.346905121,100000,2,449.754µs,4.590759ms,172.27µs,2223.4331206990273,22.65078363s
2024-02-07 08:54:08.071598504 +0000 UTC m=+101.516532765,100000,3,481.596µs,4.158571ms,180.31µs,2076.4277727167464,16.167633274s
2024-02-07 08:54:20.74920853 +0000 UTC m=+114.194142791,100000,4,503.161µs,2.787281ms,184.401µs,1987.4334446163998,12.675615265s
2024-02-07 08:54:31.604353268 +0000 UTC m=+125.049287529,100000,5,538.286µs,5.562011ms,200.96µs,1857.747948656616,10.853031448s
2024-02-07 08:54:40.931415813 +0000 UTC m=+134.376350074,100000,6,555.134µs,4.70326ms,175.94µs,1801.3657275435055,9.324913595s
2024-02-07 08:54:49.388934124 +0000 UTC m=+142.833868375,100000,7,587.029µs,4.41716ms,181.371µs,1703.4925418143175,8.455132631s
2024-02-07 08:54:57.004354315 +0000 UTC m=+150.449288576,100000,8,603.897µs,4.40006ms,196.7µs,1655.911070077704,7.612233852s
2024-02-07 08:55:04.22562229 +0000 UTC m=+157.670556550,100000,9,644.607µs,3.699299ms,207µs,1551.3307441789723,7.219293195s
2024-02-07 08:55:11.002487531 +0000 UTC m=+164.447421802,100000,10,671.857µs,5.172678ms,189.409µs,1488.4104212281616,6.774701352s
2024-02-07 08:55:17.300209825 +0000 UTC m=+170.745144076,100000,11,686.625µs,4.118899ms,195.579µs,1456.3982736465443,6.295104335s
2024-02-07 08:55:23.326452823 +0000 UTC m=+176.771387085,100000,12,716.128µs,3.927989ms,221.959µs,1396.3982405736351,6.02385073s
2024-02-07 08:55:29.02586 +0000 UTC m=+182.470794261,100000,13,733.611µs,4.397539ms,214.669µs,1363.1195633727825,5.697347678s
2024-02-07 08:55:34.350452305 +0000 UTC m=+187.795386566,100000,14,737.713µs,5.611697ms,210.689µs,1355.5404797614945,5.322656805s
2024-02-07 08:55:39.645586091 +0000 UTC m=+193.090520352,100000,15,785.514µs,4.371668ms,217.49µs,1273.0503112598035,5.292730158s
2024-02-07 08:55:44.829351355 +0000 UTC m=+198.274285606,100000,16,820.205µs,4.815198ms,215.88µs,1219.2068699484023,5.181316135s
2024-02-07 08:55:49.876407347 +0000 UTC m=+203.321341608,100000,17,848.426µs,8.156027ms,233.46µs,1178.6519483771272,5.045004042s
2024-02-07 08:55:54.751049431 +0000 UTC m=+208.195983692,100000,18,867.628µs,5.373338ms,230.48µs,1152.5672451895205,4.872106785s
2024-02-07 08:55:59.553098574 +0000 UTC m=+212.998032835,100000,19,901.135µs,5.907247ms,201.75µs,1109.7109078374663,4.798663134s
2024-02-07 08:56:04.132849851 +0000 UTC m=+217.577784112,100000,20,904.432µs,5.766048ms,220.58µs,1105.6660444951965,4.577003938s
2024-02-07 08:56:08.597057835 +0000 UTC m=+222.041992106,100000,21,925.514µs,4.354889ms,242.53µs,1080.4802469712167,4.461759485s
2024-02-07 08:56:12.921433875 +0000 UTC m=+226.366368136,100000,22,939.88µs,6.624678ms,238.85µs,1063.9653878343547,4.32232786s
2024-02-07 08:56:16.996300806 +0000 UTC m=+230.441235057,100000,23,925.38µs,6.438318ms,191.72µs,1080.636958999414,4.072818682s
2024-02-07 08:56:21.169945305 +0000 UTC m=+234.614879567,100000,24,988.608µs,6.285188ms,216.06µs,1011.5231793428593,4.17170282s
2024-02-07 08:56:25.227156992 +0000 UTC m=+238.672091263,100000,25,1.000911ms,6.857098ms,196.85µs,999.0888339906579,4.054713507s
2024-02-07 08:56:29.118884173 +0000 UTC m=+242.563818424,100000,26,998.51µs,4.183099ms,245.32µs,1001.491320505036,3.889668642s
2024-02-07 08:56:33.100411395 +0000 UTC m=+246.545345646,100000,27,1.060862ms,6.135938ms,250.01µs,942.6295728712316,3.979490242s
2024-02-07 08:56:36.856456971 +0000 UTC m=+250.301391222,100000,28,1.036492ms,4.809639ms,248.3µs,964.7927577817281,3.753764116s
2024-02-07 08:56:40.636601288 +0000 UTC m=+254.081535559,100000,29,1.079614ms,8.278487ms,251.5µs,926.2566965062031,3.777963999s
2024-02-07 08:56:44.288538387 +0000 UTC m=+257.733472648,100000,30,1.080423ms,5.686689ms,251.66µs,925.5631174561645,3.65000539s
2024-02-07 08:56:47.980796963 +0000 UTC m=+261.425731214,100000,31,1.127441ms,5.645248ms,234.28µs,886.9641731090379,3.690059697s
2024-02-07 08:56:51.662203983 +0000 UTC m=+265.107138244,100000,32,1.159216ms,6.366258ms,240.36µs,862.6516546207835,3.67805118s
2024-02-07 08:56:55.211468675 +0000 UTC m=+268.656402936,100000,33,1.154097ms,6.710567ms,236.17µs,866.4781617945449,3.547274673s
2024-02-07 08:56:58.722380411 +0000 UTC m=+272.167314662,100000,34,1.175896ms,7.195668ms,224.67µs,850.4147955168437,3.508727956s
2024-02-07 08:57:02.132591819 +0000 UTC m=+275.577526080,100000,35,1.175095ms,8.987057ms,254.121µs,850.9950003773197,3.407830039s
2024-02-07 08:57:05.583297236 +0000 UTC m=+279.028231497,100000,36,1.223318ms,8.550329ms,228.45µs,817.4483378548365,3.448468827s
2024-02-07 08:57:08.953132913 +0000 UTC m=+282.398067164,100000,37,1.22599ms,7.04865ms,273.18µs,815.6668665193313,3.367813657s
2024-02-07 08:57:12.256640115 +0000 UTC m=+285.701574366,100000,38,1.234312ms,7.216659ms,241.09µs,810.1678989346632,3.300183723s
