Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-07 11:26:09.711354312 +0000 UTC m=+33.966075031,0,0,0,0,0,0,0
2024-02-07 11:34:15.704233289 +0000 UTC m=+519.958954004,1000000,1,480.843µs,12.499208ms,221.752µs,2079.6770090771915,8m5.958175974s
2024-02-07 11:38:55.15406823 +0000 UTC m=+799.408788944,1000000,2,553.219µs,7.067808ms,196.709µs,1807.5997391728058,4m39.414753971s
2024-02-07 11:42:22.819797435 +0000 UTC m=+1007.074518149,1000000,3,616.919µs,9.775631ms,203.938µs,1620.9563647631207,3m27.632431851s
2024-02-07 11:45:32.056882463 +0000 UTC m=+1196.311603177,1000000,4,750.609µs,26.149975ms,219.85µs,1332.2514593069736,3m9.201112701s
2024-02-07 11:48:04.735230549 +0000 UTC m=+1348.989951264,1000000,5,756.809µs,11.075616ms,214.338µs,1321.3359011552905,2m32.64481608s
2024-02-07 11:50:20.111219811 +0000 UTC m=+1484.365940525,1000000,6,805.59µs,19.225793ms,228.058µs,1241.3253348119822,2m15.34206095s
2024-02-07 11:52:25.951858681 +0000 UTC m=+1610.206579395,1000000,7,873.792µs,199.83526ms,244.032µs,1144.4366058433177,2m5.807232576s
2024-02-07 11:54:38.029325788 +0000 UTC m=+1742.284046506,1000000,8,1.048918ms,11.981141ms,235.881µs,953.362722323382,2m12.04250263s
2024-02-07 11:57:06.829590634 +0000 UTC m=+1891.084311349,1000000,9,1.331325ms,22.794394ms,237.256µs,751.1313230013928,2m28.764165422s
2024-02-07 11:59:10.620051574 +0000 UTC m=+2014.874772288,1000000,10,1.229546ms,13.636562ms,254.905µs,813.3077869737575,2m3.756773641s
2024-02-07 12:01:08.568410553 +0000 UTC m=+2132.823131267,1000000,11,1.288537ms,14.479029ms,255.61µs,776.0736038152265,1m57.913411556s
2024-02-07 12:03:00.892323742 +0000 UTC m=+2245.147044456,1000000,12,1.339044ms,15.334663ms,260.034µs,746.8009956678326,1m52.290487423s
2024-02-07 12:04:48.301354414 +0000 UTC m=+2352.556075127,1000000,13,1.387384ms,19.224881ms,267.291µs,720.7805873365619,1m47.374036912s
2024-02-07 12:06:49.955350837 +0000 UTC m=+2474.210071558,1000000,14,1.693711ms,20.631179ms,260.693µs,590.4192255003986,2m1.620128574s
2024-02-07 12:08:38.651322827 +0000 UTC m=+2582.906043544,1000000,15,1.620809ms,25.885458ms,290.057µs,616.975795293965,1m48.661800513s
2024-02-07 12:10:17.12502963 +0000 UTC m=+2681.379750345,1000000,16,1.566108ms,17.853499ms,263.106µs,638.5254396846038,1m38.439995381s
2024-02-07 12:11:53.283322981 +0000 UTC m=+2777.538043699,1000000,17,1.625141ms,15.211959ms,263.153µs,615.3311145624255,1m36.124566783s
2024-02-07 12:13:27.875836156 +0000 UTC m=+2872.130556873,1000000,18,1.692357ms,24.555761ms,264.435µs,590.8917099123566,1m34.558480899s
2024-02-07 12:15:01.327529715 +0000 UTC m=+2965.582250429,1000000,19,1.765154ms,19.444254ms,275.395µs,566.5225612939399,1m33.418349202s
2024-02-07 12:16:32.163333429 +0000 UTC m=+3056.418054143,1000000,20,1.805967ms,25.706466ms,281.45µs,553.7198185617998,1m30.800884535s
2024-02-07 12:18:01.755106459 +0000 UTC m=+3146.009827176,1000000,21,1.8702ms,18.779443ms,282.653µs,534.7019298961195,1m29.557000104s
2024-02-07 12:19:31.206989757 +0000 UTC m=+3235.461710470,1000000,22,1.956907ms,18.733584ms,280.654µs,511.01047940057003,1m29.417676356s
2024-02-07 12:20:59.441133597 +0000 UTC m=+3323.695854311,1000000,23,2.018057ms,17.356965ms,273.054µs,495.5260539258031,1m28.200454492s
2024-02-07 12:22:26.083144618 +0000 UTC m=+3410.337865332,1000000,24,2.067978ms,19.573236ms,223.907µs,483.56391112167285,1m26.608294325s
2024-02-07 12:23:51.883542858 +0000 UTC m=+3496.138263572,1000000,25,2.133163ms,26.21975ms,237.865µs,468.78739700120036,1m25.767157522s
2024-02-07 12:25:17.194684039 +0000 UTC m=+3581.449404753,1000000,26,2.205796ms,19.855557ms,281.645µs,453.3508967576346,1m25.277564897s
2024-02-07 12:26:42.598378422 +0000 UTC m=+3666.853099136,1000000,27,2.293453ms,22.433555ms,284.151µs,436.02372386230485,1m25.370510156s
2024-02-07 12:28:05.77535462 +0000 UTC m=+3750.030075340,1000000,28,2.316218ms,34.719044ms,308.447µs,431.7381813030513,1m23.141144991s
2024-02-07 12:29:27.546631665 +0000 UTC m=+3831.801352404,1000000,29,2.358311ms,21.666114ms,300.532µs,424.03213569236954,1m21.735454047s
2024-02-07 12:30:51.118500704 +0000 UTC m=+3915.373221418,1000000,30,2.494005ms,21.842096ms,292.841µs,400.96146674955236,1m23.537661952s
2024-02-07 12:32:14.119933409 +0000 UTC m=+3998.374654123,1000000,31,2.559978ms,22.068665ms,287.573µs,390.6282852545277,1m22.968063869s
