Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-04-25 15:10:04.110099277 +0000 UTC m=+76.489298141,0,0,0,0,0,0,0
2024-04-25 15:11:07.929613769 +0000 UTC m=+140.308812633,100000,1,630.322µs,5.425103ms,352.91µs,1586.4896550109763,1m3.817265782s
2024-04-25 15:11:40.20448166 +0000 UTC m=+172.583680524,100000,2,637.735µs,34.724073ms,330.171µs,1568.0480129898924,32.272724001s
2024-04-25 15:12:04.225357708 +0000 UTC m=+196.604556572,100000,3,712.117µs,5.49385ms,334.56µs,1404.2627824052602,24.018378738s
2024-04-25 15:12:23.554600034 +0000 UTC m=+215.933798898,100000,4,764.057µs,5.234309ms,319.74µs,1308.8022062356913,19.327189196s
2024-04-25 15:12:40.565340672 +0000 UTC m=+232.944539526,100000,5,840.939µs,4.597319ms,329.01µs,1189.1459041085852,17.008589428s
2024-04-25 15:12:55.975622009 +0000 UTC m=+248.354820863,100000,6,914.816µs,5.645379ms,352.77µs,1093.1149843588173,15.408237407s
2024-04-25 15:13:10.108924735 +0000 UTC m=+262.488123589,100000,7,978.872µs,8.750439ms,358.91µs,1021.5838120277825,14.131174166s
2024-04-25 15:13:23.422578487 +0000 UTC m=+275.801777341,100000,8,1.054303ms,6.42312ms,342.64µs,948.4933081443471,13.311562802s
2024-04-25 15:13:36.098237266 +0000 UTC m=+288.477436130,100000,9,1.130066ms,6.36896ms,374.64µs,884.9038362747414,12.673664579s
2024-04-25 15:13:48.186557659 +0000 UTC m=+300.565756523,100000,10,1.197204ms,7.71299ms,408.549µs,835.2794778918334,12.086254493s
2024-04-25 15:13:59.748015612 +0000 UTC m=+312.127214476,100000,11,1.258826ms,10.103809ms,403.071µs,794.3905834934916,11.559389013s
2024-04-25 15:14:10.759675436 +0000 UTC m=+323.138874299,100000,12,1.308532ms,7.8316ms,382.54µs,764.2146170627568,11.009655304s
2024-04-25 15:14:21.446836881 +0000 UTC m=+333.826035745,100000,13,1.375689ms,9.661618ms,369.87µs,726.908414499411,10.684800705s
2024-04-25 15:14:31.688863112 +0000 UTC m=+344.068061966,100000,14,1.419669ms,8.605639ms,435.95µs,704.3890786930089,10.239914492s
2024-04-25 15:14:41.66883233 +0000 UTC m=+354.048031194,100000,15,1.4823ms,9.281308ms,417.71µs,674.6271351198944,9.977949268s
2024-04-25 15:14:51.481203685 +0000 UTC m=+363.860402539,100000,16,1.554354ms,9.914398ms,363.19µs,643.3540204904817,9.809799827s
2024-04-25 15:15:01.010587619 +0000 UTC m=+373.389786473,100000,17,1.603761ms,8.788779ms,387.79µs,623.5342177405167,9.527391854s
2024-04-25 15:15:10.457215027 +0000 UTC m=+382.836413891,100000,18,1.68286ms,12.424358ms,431.48µs,594.2264497144861,9.444359058s
