Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-02 11:18:36.652841317 +0000 UTC m=+25.261831889,0,0,0,0,0,0,0
2024-05-02 11:19:21.624118 +0000 UTC m=+70.233108572,100000,1,441.782µs,5.323069ms,206.7µs,2263.556996187995,44.969024363s
2024-05-02 11:19:45.823822865 +0000 UTC m=+94.432813427,100000,2,474.057µs,4.382429ms,204.639µs,2109.45026065163,24.197629705s
2024-05-02 11:20:03.385908255 +0000 UTC m=+111.994898827,100000,3,516.25µs,5.099959ms,219.34µs,1937.0459605672788,17.55877955s
2024-05-02 11:20:17.255928005 +0000 UTC m=+125.864918567,100000,4,543.544µs,4.45775ms,198.41µs,1839.7768922814994,13.86794243s
2024-05-02 11:20:29.08399474 +0000 UTC m=+137.692985311,100000,5,579.672µs,5.51602ms,206.56µs,1725.1125961540865,11.825948204s
2024-05-02 11:20:39.697003656 +0000 UTC m=+148.305994228,100000,6,624.56µs,3.34399ms,230.03µs,1601.1246503719628,10.610962107s
2024-05-02 11:20:49.222853901 +0000 UTC m=+157.831844473,100000,7,653.885µs,3.995499ms,211.95µs,1529.3198792920577,9.523824915s
2024-05-02 11:20:57.850865547 +0000 UTC m=+166.459856118,100000,8,676.46µs,3.50668ms,233.521µs,1478.282487945183,8.625749965s
2024-05-02 11:21:05.648730785 +0000 UTC m=+174.257721357,100000,9,686.968µs,3.32638ms,221.68µs,1455.6702116201711,7.795826318s
2024-05-02 11:21:13.065769282 +0000 UTC m=+181.674759844,100000,10,725.481µs,4.863389ms,202.17µs,1378.3950467881243,7.414876567s
2024-05-02 11:21:20.155384311 +0000 UTC m=+188.764374873,100000,11,762.868µs,4.021129ms,230.07µs,1310.8423032088606,7.087471269s
2024-05-02 11:21:26.806221345 +0000 UTC m=+195.415211917,100000,12,779.707µs,4.27637ms,210.641µs,1282.532906832508,6.648703753s
2024-05-02 11:21:33.225668662 +0000 UTC m=+201.834659233,100000,13,814.314µs,6.09036ms,220.27µs,1228.0265034164406,6.417296207s
2024-05-02 11:21:39.500020123 +0000 UTC m=+208.109010695,100000,14,855.62µs,4.47515ms,223.13µs,1168.7418960615166,6.272252671s
2024-05-02 11:21:45.558787586 +0000 UTC m=+214.167778158,100000,15,884.091µs,3.92646ms,242.72µs,1131.1050775086987,6.056737173s
2024-05-02 11:21:51.410908059 +0000 UTC m=+220.019898631,100000,16,909.523µs,4.046859ms,255.739µs,1099.4764009911473,5.848592793s
2024-05-02 11:21:57.115641287 +0000 UTC m=+225.724631859,100000,17,939.498µs,4.78585ms,263.61µs,1064.3981454177613,5.702491059s
2024-05-02 11:22:02.695707198 +0000 UTC m=+231.304697770,100000,18,972.35µs,4.83905ms,240.939µs,1028.435697575626,5.578004071s
2024-05-02 11:22:08.153853021 +0000 UTC m=+236.762843593,100000,19,1.004534ms,5.211219ms,256.39µs,995.4858640073445,5.456089593s
2024-05-02 11:22:13.589779246 +0000 UTC m=+242.198769818,100000,20,1.049818ms,5.260929ms,264.06µs,952.5458514579129,5.433827806s
2024-05-02 11:22:18.835274841 +0000 UTC m=+247.444265412,100000,21,1.062144ms,5.3929ms,258.641µs,941.4911295862449,5.243196235s
2024-05-02 11:22:23.961876067 +0000 UTC m=+252.570866639,100000,22,1.086861ms,6.012679ms,262.14µs,920.0804799323748,5.124201476s
2024-05-02 11:22:29.02236839 +0000 UTC m=+257.631358962,100000,23,1.121837ms,5.356949ms,286.38µs,891.3948128740526,5.058358253s
2024-05-02 11:22:33.983475702 +0000 UTC m=+262.592466264,100000,24,1.144429ms,5.91486ms,253.22µs,873.7980615345373,4.958912253s
2024-05-02 11:22:38.859761634 +0000 UTC m=+267.468752206,100000,25,1.169029ms,5.615679ms,277.77µs,855.4107028037065,4.874195981s
2024-05-02 11:22:43.679592321 +0000 UTC m=+272.288582893,100000,26,1.204389ms,7.15784ms,288.28µs,830.2961322297862,4.817836447s
2024-05-02 11:22:48.411903327 +0000 UTC m=+277.020893899,100000,27,1.226292ms,5.73697ms,284.29µs,815.4661593808999,4.730245576s
2024-05-02 11:22:53.053132282 +0000 UTC m=+281.662122844,100000,28,1.246811ms,5.987369ms,306.61µs,802.0456622027634,4.639085565s
2024-05-02 11:22:57.625199093 +0000 UTC m=+286.234189665,100000,29,1.271382ms,5.984139ms,288.69µs,786.5454306923345,4.569511422s
2024-05-02 11:23:02.131158322 +0000 UTC m=+290.740148894,100000,30,1.295287ms,5.720869ms,284.63µs,772.0294529571981,4.503599409s
2024-05-02 11:23:06.661810748 +0000 UTC m=+295.270801310,100000,31,1.346403ms,6.281169ms,275.84µs,742.7196542934839,4.528460426s
2024-05-02 11:23:11.156043397 +0000 UTC m=+299.765033969,100000,32,1.368701ms,6.61571ms,284.02µs,730.6194550662705,4.491911919s
2024-05-02 11:23:15.581721193 +0000 UTC m=+304.190711766,100000,33,1.395024ms,6.214029ms,230.88µs,716.8331963600708,4.423545167s
2024-05-02 11:23:19.934613127 +0000 UTC m=+308.543603699,100000,34,1.412628ms,6.464739ms,298.221µs,707.9000180741542,4.350761333s
2024-05-02 11:23:24.246378145 +0000 UTC m=+312.855368707,100000,35,1.441041ms,6.457589ms,270.1µs,693.9425041161185,4.309638909s
2024-05-02 11:23:28.536927096 +0000 UTC m=+317.145917658,100000,36,1.47404ms,7.48942ms,320.47µs,678.407425442675,4.28852044s
2024-05-02 11:23:32.742317964 +0000 UTC m=+321.351308536,100000,37,1.486234ms,5.991529ms,292.42µs,672.8412564836018,4.203369579s
2024-05-02 11:23:36.911671276 +0000 UTC m=+325.520661838,100000,38,1.507079ms,6.542739ms,305.27µs,663.5350347156856,4.166858742s
2024-05-02 11:23:41.070836009 +0000 UTC m=+329.679826591,100000,39,1.542961ms,6.62597ms,286.56µs,648.1044613743209,4.156721434s
2024-05-02 11:23:45.200348825 +0000 UTC m=+333.809339397,100000,40,1.571132ms,7.0135ms,315.02µs,636.4836083810286,4.127428617s
2024-05-02 11:23:49.287478516 +0000 UTC m=+337.896469078,100000,41,1.594005ms,7.287209ms,295.85µs,627.350493411421,4.085127641s
2024-05-02 11:23:53.428441721 +0000 UTC m=+342.037432292,100000,42,1.652113ms,7.81518ms,312.08µs,605.2853764002045,4.138965545s
2024-05-02 11:23:57.443635938 +0000 UTC m=+346.052626510,100000,43,1.644951ms,7.556929ms,283.16µs,607.9206168062924,4.013106657s
2024-05-02 11:24:01.525010539 +0000 UTC m=+350.134001111,100000,44,1.709368ms,6.778029ms,282.66µs,585.0114612240205,4.078913552s
2024-05-02 11:24:05.529046368 +0000 UTC m=+354.138036930,100000,45,1.712193ms,6.95295ms,318.72µs,584.0461124588084,4.002024459s
2024-05-02 11:24:09.515449978 +0000 UTC m=+358.124440550,100000,46,1.73653ms,6.54901ms,272.26µs,575.8608542670898,3.98397507s
2024-05-02 11:24:13.523222087 +0000 UTC m=+362.132212659,100000,47,1.787189ms,8.537729ms,282.11µs,559.5376753318872,4.005069169s
2024-05-02 11:24:17.423323866 +0000 UTC m=+366.032314428,100000,48,1.777985ms,8.70949ms,319.26µs,562.4343491099444,3.898004929s
2024-05-02 11:24:21.330117565 +0000 UTC m=+369.939108127,100000,49,1.817106ms,8.097909ms,330.37µs,550.3255434883869,3.904492929s
2024-05-02 11:24:25.211375816 +0000 UTC m=+373.820366387,100000,50,1.840299ms,7.56374ms,312.51µs,543.3897034978363,3.879247751s
2024-05-02 11:24:29.05736026 +0000 UTC m=+377.666350832,100000,51,1.856956ms,7.237108ms,323.09µs,538.515465434215,3.843952315s
2024-05-02 11:24:32.877539217 +0000 UTC m=+381.486529789,100000,52,1.882705ms,7.548049ms,298.8µs,531.1503948206495,3.816101548s
2024-05-02 11:24:36.689716945 +0000 UTC m=+385.298707517,100000,53,1.913243ms,8.06928ms,313.34µs,522.6726575476365,3.810032578s
2024-05-02 11:24:40.501094543 +0000 UTC m=+389.110085115,100000,54,1.948091ms,7.765509ms,310.52µs,513.3228832150381,3.809279448s
2024-05-02 11:24:44.264405456 +0000 UTC m=+392.873396018,100000,55,1.958247ms,8.341659ms,284.78µs,510.66076712515115,3.761256943s
2024-05-02 11:24:48.032998038 +0000 UTC m=+396.641988610,100000,56,1.992769ms,8.626639ms,299.82µs,501.8140752296678,3.765184873s
