Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-03 10:04:30.285123091 +0000 UTC m=+75.475766353,0,0,0,0,0,0,0
2024-05-03 10:05:36.154639771 +0000 UTC m=+141.345283032,100000,1,650.606µs,13.738069ms,374.74µs,1537.027758461852,1m5.866998009s
2024-05-03 10:06:08.78887373 +0000 UTC m=+173.979516991,100000,2,644.028µs,4.42714ms,341.071µs,1552.7254234119268,32.632032919s
2024-05-03 10:06:33.301158607 +0000 UTC m=+198.491801868,100000,3,726.02µs,4.531081ms,346.25µs,1377.371007645709,24.510129827s
2024-05-03 10:06:52.874441063 +0000 UTC m=+218.065084324,100000,4,772.938µs,4.91315ms,343.181µs,1293.7641097661528,19.571210816s
2024-05-03 10:07:10.455347001 +0000 UTC m=+235.645990252,100000,5,868.586µs,5.05803ms,356.149µs,1151.295381198957,17.578766978s
2024-05-03 10:07:26.319958682 +0000 UTC m=+251.510601943,100000,6,940.841µs,4.971199ms,341.29µs,1062.878786650108,15.862580681s
2024-05-03 10:07:40.978981285 +0000 UTC m=+266.169624546,100000,7,1.014415ms,6.20199ms,368.89µs,985.7897599821134,14.655644583s
2024-05-03 10:07:54.735515937 +0000 UTC m=+279.926159198,100000,8,1.088096ms,7.450271ms,368.53µs,919.0357225926838,13.752915589s
2024-05-03 10:08:07.499040577 +0000 UTC m=+292.689683838,100000,9,1.135849ms,6.141736ms,386.71µs,880.398224276551,12.760908927s
2024-05-03 10:08:19.73288685 +0000 UTC m=+304.923530111,100000,10,1.209923ms,6.976067ms,396.351µs,826.4982500609952,12.23042051s
2024-05-03 10:08:31.473992195 +0000 UTC m=+316.664635456,100000,11,1.277554ms,7.087257ms,402.81µs,782.7456593005876,11.739061903s
2024-05-03 10:08:42.80709646 +0000 UTC m=+327.997739720,100000,12,1.344998ms,8.29715ms,405.03µs,743.4949810261082,11.330677814s
2024-05-03 10:08:53.734218879 +0000 UTC m=+338.924862140,100000,13,1.40523ms,9.115061ms,391.37µs,711.6270002582942,10.92480807s
2024-05-03 10:09:04.417805643 +0000 UTC m=+349.608448904,100000,14,1.477978ms,8.954418ms,417.19µs,676.5996754991542,10.681462314s
2024-05-03 10:09:14.779846467 +0000 UTC m=+359.970489728,100000,15,1.536983ms,8.318619ms,411.459µs,650.6251504532721,10.360001374s
2024-05-03 10:09:24.832304042 +0000 UTC m=+370.022947302,100000,16,1.588771ms,9.461268ms,403.289µs,629.4173149760761,10.049125705s
2024-05-03 10:09:34.704996472 +0000 UTC m=+379.895639723,100000,17,1.657808ms,10.282268ms,436.03µs,603.2059967907642,9.87033009s
2024-05-03 10:09:44.471748682 +0000 UTC m=+389.662391933,100000,18,1.73728ms,9.151368ms,402.32µs,575.6123687863227,9.764677281s
2024-05-03 10:09:54.116877917 +0000 UTC m=+399.307521178,100000,19,1.809628ms,10.255128ms,404.17µs,552.599756327614,9.642540106s
2024-05-03 10:10:03.522555378 +0000 UTC m=+408.713198639,100000,20,1.857239ms,9.889778ms,451.62µs,538.4335902405769,9.403649991s
2024-05-03 10:10:12.918838252 +0000 UTC m=+418.109481513,100000,21,1.949469ms,10.435129ms,445.66µs,512.9599794285435,9.394174084s
2024-05-03 10:10:22.274362341 +0000 UTC m=+427.465005602,100000,22,2.031925ms,10.647409ms,444.53µs,492.14405019158767,9.353506789s
2024-05-03 10:10:31.463980832 +0000 UTC m=+436.654624093,100000,23,2.085965ms,11.825968ms,437.21µs,479.39428156985343,9.187511111s
2024-05-03 10:10:40.465382837 +0000 UTC m=+445.656026099,100000,24,2.132841ms,11.507378ms,451.2µs,468.8580781165899,8.999367356s
2024-05-03 10:10:49.327730432 +0000 UTC m=+454.518373693,100000,25,2.186597ms,10.563579ms,459.08µs,457.33158750471864,8.860263155s
2024-05-03 10:10:58.16339319 +0000 UTC m=+463.354036450,100000,26,2.26622ms,10.440588ms,490.35µs,441.26335011484895,8.833168318s
2024-05-03 10:11:06.99461164 +0000 UTC m=+472.185254901,100000,27,2.354899ms,14.674598ms,359.49µs,424.6465183683275,8.829098682s
2024-05-03 10:11:15.696419966 +0000 UTC m=+480.887063227,100000,28,2.402152ms,13.917528ms,429.56µs,416.2932975340895,8.699638846s
2024-05-03 10:11:24.237064952 +0000 UTC m=+489.427708213,100000,29,2.442011ms,11.094487ms,504.019µs,409.4985055402941,8.538488226s
2024-05-03 10:11:32.826133819 +0000 UTC m=+498.016777080,100000,30,2.540542ms,12.743538ms,447.48µs,393.61666551517555,8.587042727s
2024-05-03 10:11:41.29113739 +0000 UTC m=+506.481780641,100000,31,2.588347ms,13.126177ms,454.08µs,386.3469616277188,8.462896412s
2024-05-03 10:11:49.655431601 +0000 UTC m=+514.846074852,100000,32,2.640602ms,11.832778ms,502.59µs,378.70149991211997,8.362069872s
2024-05-03 10:11:58.052226295 +0000 UTC m=+523.242869556,100000,33,2.732816ms,14.139337ms,496.13µs,365.9228647314404,8.394740495s
2024-05-03 10:12:06.278252503 +0000 UTC m=+531.468895764,100000,34,2.759986ms,14.385318ms,473.2µs,362.3205926964586,8.223824708s
2024-05-03 10:12:14.469066843 +0000 UTC m=+539.659710094,100000,35,2.828177ms,13.754208ms,480.839µs,353.5846058810572,8.188781489s
2024-05-03 10:12:22.688618487 +0000 UTC m=+547.879261738,100000,36,2.918174ms,14.1684ms,551.86µs,342.6799629593731,8.217521174s
2024-05-03 10:12:30.788692628 +0000 UTC m=+555.979335889,100000,37,2.95714ms,15.41302ms,481.56µs,338.16449710020447,8.097857681s
2024-05-03 10:12:38.89269104 +0000 UTC m=+564.083334301,100000,38,3.037918ms,14.86315ms,534.07µs,329.172788267993,8.101830412s
2024-05-03 10:12:46.93303381 +0000 UTC m=+572.123677071,100000,39,3.093446ms,17.33458ms,451.7µs,323.26404960278313,8.03828642s
2024-05-03 10:12:55.010780141 +0000 UTC m=+580.201423402,100000,40,3.189798ms,13.32163ms,466.57µs,313.49937954114523,8.075487851s
2024-05-03 10:13:02.98221794 +0000 UTC m=+588.172861191,100000,41,3.227892ms,13.78981ms,544.02µs,309.79961476894687,7.969117719s
2024-05-03 10:13:11.079474741 +0000 UTC m=+596.270118002,100000,42,3.357613ms,14.8132ms,526.3µs,297.8306019821287,8.095135141s
2024-05-03 10:13:19.082849374 +0000 UTC m=+604.273492634,100000,43,3.39359ms,17.11302ms,456.62µs,294.67318741623774,8.000744803s
2024-05-03 10:13:27.01688525 +0000 UTC m=+612.207528511,100000,44,3.445229ms,14.53418ms,571.23µs,290.25640881733983,7.931742106s
2024-05-03 10:13:34.935773318 +0000 UTC m=+620.126416569,100000,45,3.514504ms,15.150469ms,489.27µs,284.5351178697056,7.916686478s
2024-05-03 10:13:42.883467554 +0000 UTC m=+628.074110815,100000,46,3.61128ms,16.84963ms,484.38µs,276.9100687601572,7.945611316s
2024-05-03 10:13:50.852657989 +0000 UTC m=+636.043301240,100000,47,3.693632ms,16.777409ms,514.19µs,270.7361987195883,7.967107575s
2024-05-03 10:13:58.752438088 +0000 UTC m=+643.943081349,100000,48,3.742993ms,16.436269ms,529.88µs,267.1658719868098,7.897613279s
2024-05-03 10:14:06.705517304 +0000 UTC m=+651.896160555,100000,49,3.844403ms,17.842529ms,496.27µs,260.11838598171045,7.950745256s
2024-05-03 10:14:14.584330863 +0000 UTC m=+659.774974114,100000,50,3.891165ms,17.908799ms,528.72µs,256.99242623626554,7.87673183s
2024-05-03 10:14:22.410037199 +0000 UTC m=+667.600680460,100000,51,3.939478ms,17.070249ms,506.34µs,253.8406825370777,7.823183676s
2024-05-03 10:14:30.24084514 +0000 UTC m=+675.431488420,100000,52,4.020579ms,18.682988ms,445.939µs,248.72036718424587,7.828671551s
2024-05-03 10:14:38.084770169 +0000 UTC m=+683.275413430,100000,53,4.103449ms,18.836308ms,565.94µs,243.69739667696447,7.841589829s
2024-05-03 10:14:45.943373596 +0000 UTC m=+691.134016857,100000,54,4.190425ms,18.979748ms,492.47µs,238.63927584172288,7.856527637s
2024-05-03 10:14:53.740557181 +0000 UTC m=+698.931200432,100000,55,4.238168ms,15.962988ms,483.72µs,235.9509639196935,7.794963676s
2024-05-03 10:15:01.557817084 +0000 UTC m=+706.748460345,100000,56,4.323914ms,17.542488ms,554.34µs,231.27191509677584,7.815097803s
2024-05-03 10:15:09.461493985 +0000 UTC m=+714.652137246,100000,57,4.451694ms,18.425077ms,440.76µs,224.63355278786133,7.901502491s
2024-05-03 10:15:17.34135699 +0000 UTC m=+722.532000241,100000,58,4.514889ms,19.768147ms,613.92µs,221.48937678088268,7.877581185s
2024-05-03 10:15:25.157170552 +0000 UTC m=+730.347813814,100000,59,4.551941ms,17.988568ms,471.2µs,219.68645859865973,7.813688553s
2024-05-03 10:15:32.892149819 +0000 UTC m=+738.082793080,100000,60,4.581698ms,17.093291ms,581.34µs,218.25966313693547,7.732792638s
2024-05-03 10:15:40.639195274 +0000 UTC m=+745.829838535,100000,61,4.66623ms,22.96606ms,531.899µs,214.30574372117403,7.744588835s
2024-05-03 10:15:48.316578598 +0000 UTC m=+753.507221859,100000,62,4.702204ms,22.61731ms,498.84µs,212.66619579906398,7.675169755s
2024-05-03 10:15:56.026536553 +0000 UTC m=+761.217179814,100000,63,4.798379ms,17.35461ms,526.3µs,208.4036700122152,7.707899905s
2024-05-03 10:16:03.742696177 +0000 UTC m=+768.933339438,100000,64,4.874593ms,23.00408ms,470.51µs,205.1453253880493,7.714015454s
2024-05-03 10:16:11.489059672 +0000 UTC m=+776.679702932,100000,65,4.970017ms,20.836811ms,560.84µs,201.20655154220182,7.744273015s
2024-05-03 10:16:19.157147386 +0000 UTC m=+784.347790647,100000,66,4.997716ms,21.97777ms,520.26µs,200.09139035591173,7.665739745s
2024-05-03 10:16:26.853834131 +0000 UTC m=+792.044477392,100000,67,5.090594ms,21.117351ms,431.31µs,196.44070925135827,7.694546434s
2024-05-03 10:16:34.548128331 +0000 UTC m=+799.738771582,100000,68,5.169814ms,18.64974ms,547.28µs,193.43053646925586,7.69153439s
2024-05-03 10:16:42.233208983 +0000 UTC m=+807.423852245,100000,69,5.239523ms,22.3542ms,514.29µs,190.8570581348637,7.682902053s
2024-05-03 10:16:49.902474296 +0000 UTC m=+815.093117557,100000,70,5.308025ms,19.93985ms,584.93µs,188.3939867584869,7.665830744s
2024-05-03 10:16:57.53089272 +0000 UTC m=+822.721535981,100000,71,5.350432ms,21.036539ms,491.38µs,186.90078056535174,7.626216174s
2024-05-03 10:17:05.197230073 +0000 UTC m=+830.387873334,100000,72,5.448123ms,22.6521ms,504.31µs,183.54945291115376,7.664208423s
2024-05-03 10:17:12.805210397 +0000 UTC m=+837.995853658,100000,73,5.488188ms,23.086959ms,572.18µs,182.20949482856346,7.605743744s
2024-05-03 10:17:20.408039631 +0000 UTC m=+845.598682882,100000,74,5.558754ms,21.04261ms,566.93µs,179.89642331398113,7.600692254s
2024-05-03 10:17:28.022241455 +0000 UTC m=+853.212884716,100000,75,5.64277ms,20.53642ms,518.8µs,177.21789785931253,7.611994714s
