Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-02 14:45:48.313310345 +0000 UTC m=+23.706395489,0,0,0,0,0,0,0
2024-05-02 14:46:27.179292301 +0000 UTC m=+62.572377444,100000,1,381.406µs,5.415815ms,192.831µs,2621.8753737079414,38.86384791s
2024-05-02 14:46:48.792047439 +0000 UTC m=+84.185132583,100000,2,422.391µs,4.080932ms,186.68µs,2367.4704749638513,21.610640952s
2024-05-02 14:47:04.674986211 +0000 UTC m=+100.068071345,100000,3,466.056µs,4.318783ms,179.67µs,2145.6634298646427,15.880935162s
2024-05-02 14:47:16.823128007 +0000 UTC m=+112.216213141,100000,4,475.397µs,4.44739ms,171.01µs,2103.5029006561094,12.146150786s
2024-05-02 14:47:27.60398513 +0000 UTC m=+122.997070264,100000,5,527.675µs,3.87399ms,194.169µs,1895.1043055111757,10.778808643s
2024-05-02 14:47:37.027420139 +0000 UTC m=+132.420505273,100000,6,553.595µs,5.24144ms,171.03µs,1806.3743537873067,9.421360819s
2024-05-02 14:47:45.729465007 +0000 UTC m=+141.122550151,100000,7,596.036µs,3.22741ms,194.39µs,1677.74939967216,8.699786478s
2024-05-02 14:47:53.88236987 +0000 UTC m=+149.275455014,100000,8,638.14µs,3.95963ms,206.69µs,1567.053172500577,8.150757983s
2024-05-02 14:48:01.272603539 +0000 UTC m=+156.665688684,100000,9,649.805µs,4.589839ms,204.78µs,1538.9215963500599,7.38686022s
2024-05-02 14:48:08.367947325 +0000 UTC m=+163.761032469,100000,10,692.879µs,4.798198ms,204.39µs,1443.252676034346,7.093277555s
2024-05-02 14:48:15.043124527 +0000 UTC m=+170.436209661,100000,11,716.292µs,3.485789ms,211.51µs,1396.0775528874094,6.673086993s
2024-05-02 14:48:21.437821654 +0000 UTC m=+176.830906788,100000,12,747.74µs,3.492349ms,206.64µs,1337.3617406630747,6.392499918s
2024-05-02 14:48:27.552999936 +0000 UTC m=+182.946085110,100000,13,772.691µs,4.678048ms,217.28µs,1294.1772782836565,6.112993613s
2024-05-02 14:48:33.470457033 +0000 UTC m=+188.863542177,100000,14,804.248µs,4.243858ms,206.82µs,1243.3962185179332,5.915390776s
2024-05-02 14:48:39.370587995 +0000 UTC m=+194.763673139,100000,15,858.241µs,4.139108ms,223.999µs,1165.173084049261,5.898013753s
2024-05-02 14:48:45.086952627 +0000 UTC m=+200.480037770,100000,16,886.773µs,5.832448ms,222.82µs,1127.683604989904,5.714209742s
2024-05-02 14:48:50.639332259 +0000 UTC m=+206.032417393,100000,17,912.996µs,4.401309ms,233.98µs,1095.2940722976834,5.550211863s
2024-05-02 14:48:56.037179829 +0000 UTC m=+211.430264973,100000,18,937.604µs,5.572348ms,223.96µs,1066.5482516083582,5.395806921s
2024-05-02 14:49:01.264064064 +0000 UTC m=+216.657149208,100000,19,956.391µs,4.569398ms,225.13µs,1045.5973070281755,5.224640615s
2024-05-02 14:49:06.375544226 +0000 UTC m=+221.768629370,100000,20,985.31µs,5.012338ms,233.47µs,1014.9083626382007,5.109376042s
2024-05-02 14:49:11.392651625 +0000 UTC m=+226.785736769,100000,21,1.011607ms,5.196899ms,232.49µs,988.5260848121336,5.015063469s
2024-05-02 14:49:16.342619127 +0000 UTC m=+231.735704271,100000,22,1.044602ms,4.832329ms,249.63µs,957.301491034386,4.947813533s
2024-05-02 14:49:21.174296115 +0000 UTC m=+236.567381259,100000,23,1.066575ms,5.328559ms,216.95µs,937.5800087387083,4.829589857s
2024-05-02 14:49:25.910220542 +0000 UTC m=+241.303305686,100000,24,1.086928ms,5.407839ms,250.409µs,920.0238523050768,4.733872838s
2024-05-02 14:49:30.674938603 +0000 UTC m=+246.068023748,100000,25,1.136053ms,5.208528ms,255.97µs,880.2403538523647,4.762592672s
2024-05-02 14:49:35.27391033 +0000 UTC m=+250.666995474,100000,26,1.141518ms,7.287178ms,221.19µs,876.0259211210218,4.596948407s
2024-05-02 14:49:39.910621358 +0000 UTC m=+255.303706502,100000,27,1.193496ms,5.241889ms,254.87µs,837.8742124293548,4.634202319s
2024-05-02 14:49:44.4817503 +0000 UTC m=+259.874835434,100000,28,1.220489ms,5.17363ms,271.51µs,819.3431120941319,4.569014522s
2024-05-02 14:49:48.956364012 +0000 UTC m=+264.349449157,100000,29,1.238684ms,6.799279ms,242.01µs,807.3081551042493,4.472451773s
2024-05-02 14:49:53.384649555 +0000 UTC m=+268.777734699,100000,30,1.268855ms,6.328379ms,248.509µs,788.1118068906285,4.426109483s
2024-05-02 14:49:57.738319022 +0000 UTC m=+273.131404156,100000,31,1.287412ms,6.353828ms,256.59µs,776.7515912457773,4.351348698s
2024-05-02 14:50:02.098218099 +0000 UTC m=+277.491303233,100000,32,1.329092ms,6.468469ms,284.449µs,752.3929574547802,4.357518477s
2024-05-02 14:50:06.464050934 +0000 UTC m=+281.857136078,100000,33,1.367296ms,6.934189ms,227.85µs,731.370147060296,4.363816595s
2024-05-02 14:50:10.763865113 +0000 UTC m=+286.156950257,100000,34,1.390531ms,6.355628ms,269.01µs,719.1495575664137,4.297620469s
2024-05-02 14:50:15.007631987 +0000 UTC m=+290.400717131,100000,35,1.41032ms,7.83888ms,272.561µs,709.0585274773309,4.241714234s
2024-05-02 14:50:19.209346595 +0000 UTC m=+294.602431739,100000,36,1.438415ms,6.795811ms,281.72µs,695.2096336674117,4.199709778s
2024-05-02 14:50:23.359218672 +0000 UTC m=+298.752303806,100000,37,1.453326ms,6.736791ms,267.32µs,688.0765168240961,4.147840237s
2024-05-02 14:50:27.505757149 +0000 UTC m=+302.898842293,100000,38,1.49137ms,6.29219ms,267.879µs,670.5244033438388,4.144348067s
2024-05-02 14:50:31.676656786 +0000 UTC m=+307.069741930,100000,39,1.545066ms,6.75204ms,281.34µs,647.2214074452244,4.168697017s
2024-05-02 14:50:35.761796331 +0000 UTC m=+311.154881475,100000,40,1.548227ms,7.91037ms,290.74µs,645.9000975944733,4.081674255s
2024-05-02 14:50:39.809693485 +0000 UTC m=+315.202778629,100000,41,1.574853ms,7.06308ms,260.25µs,634.9797483260365,4.045529964s
