Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-03 09:14:11.760433844 +0000 UTC m=+78.868928316,0,0,0,0,0,0,0
2024-05-03 09:15:25.006746574 +0000 UTC m=+152.115241046,100000,1,722.839µs,5.64197ms,376.951µs,1383.4321460363788,1m13.24386596s
2024-05-03 09:16:01.677678633 +0000 UTC m=+188.786173106,100000,2,723.529µs,5.13589ms,348.589µs,1382.112804690879,36.668525639s
2024-05-03 09:16:29.56394422 +0000 UTC m=+216.672438691,100000,3,825.53µs,4.75131ms,350.37µs,1211.3420929208098,27.884136747s
2024-05-03 09:16:51.998626415 +0000 UTC m=+239.107120877,100000,4,885.923µs,6.08094ms,368.5µs,1128.7655394845187,22.432364837s
2024-05-03 09:17:11.396863498 +0000 UTC m=+258.505357960,100000,5,957.944µs,7.616409ms,348.47µs,1043.90152774052,19.395848584s
2024-05-03 09:17:28.809235441 +0000 UTC m=+275.917729912,100000,6,1.032146ms,6.603798ms,385.069µs,968.8549026183445,17.410371223s
2024-05-03 09:17:44.997339843 +0000 UTC m=+292.105834325,100000,7,1.119773ms,6.888099ms,360.19µs,893.0376915723509,16.186054293s
2024-05-03 09:18:00.089616738 +0000 UTC m=+307.198111210,100000,8,1.193319ms,6.862598ms,394.53µs,837.9988874323526,15.090208726s
2024-05-03 09:18:14.470719668 +0000 UTC m=+321.579214141,100000,9,1.279774ms,8.527797ms,409.55µs,781.3877417186229,14.378985101s
2024-05-03 09:18:28.116696356 +0000 UTC m=+335.225190818,100000,10,1.348568ms,7.721098ms,385.4µs,741.5271776660319,13.643953737s
2024-05-03 09:18:41.103899351 +0000 UTC m=+348.212393823,100000,11,1.412577ms,7.251529ms,412.28µs,707.9257833198963,12.984979315s
2024-05-03 09:18:53.810819748 +0000 UTC m=+360.919314220,100000,12,1.507077ms,7.578178ms,421.55µs,663.5358673542767,12.704765318s
2024-05-03 09:19:06.182575034 +0000 UTC m=+373.291069506,100000,13,1.589951ms,8.987007ms,427.04µs,628.9499501805229,12.369307057s
2024-05-03 09:19:18.125173728 +0000 UTC m=+385.233668200,100000,14,1.652045ms,9.112049ms,446.56µs,605.3103324182723,11.940067334s
2024-05-03 09:19:29.840862879 +0000 UTC m=+396.949357341,100000,15,1.735395ms,10.569238ms,454.76µs,576.2376702438519,11.713622431s
2024-05-03 09:19:41.189149553 +0000 UTC m=+408.297644025,100000,16,1.792866ms,10.332918ms,429.07µs,557.7659577523218,11.346203714s
2024-05-03 09:19:52.285115251 +0000 UTC m=+419.393609713,100000,17,1.862068ms,18.177237ms,429.53µs,537.0370910869361,11.093798439s
2024-05-03 09:20:03.260920819 +0000 UTC m=+430.369415291,100000,18,1.949932ms,10.585628ms,476.49µs,512.8382866173139,10.973620546s
