Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-29 16:46:06.455745391 +0000 UTC m=+64.681573150,0,0,0,0,0,0,0
2024-01-29 16:46:54.353294255 +0000 UTC m=+112.579122015,100000,1,473.517µs,7.261605ms,242.169µs,2111.853430607227,47.893285391s
2024-01-29 16:47:22.476043651 +0000 UTC m=+140.701871418,100000,2,556.406µs,3.983517ms,221.909µs,1797.2485603640448,28.119123462s
2024-01-29 16:47:43.45575518 +0000 UTC m=+161.681582939,100000,3,622.959µs,6.305239ms,214.76µs,1605.2416178768683,20.975996544s
2024-01-29 16:48:00.635710306 +0000 UTC m=+178.861538066,100000,4,680.48µs,4.033951ms,226.592µs,1469.5508422268201,17.176228864s
2024-01-29 16:48:15.50415148 +0000 UTC m=+193.729979239,100000,5,736.525µs,3.515498ms,261.997µs,1357.7257993225996,14.86482153s
2024-01-29 16:48:29.335038178 +0000 UTC m=+207.560865941,100000,6,822.025µs,6.278676ms,252.704µs,1216.5067438527576,13.82723121s
2024-01-29 16:48:42.035698117 +0000 UTC m=+220.261525878,100000,7,880.782µs,5.729319ms,261.957µs,1135.3538150074648,12.69717042s
2024-01-29 16:48:53.999226765 +0000 UTC m=+232.225054525,100000,8,948.026µs,6.662238ms,267.932µs,1054.8223812330907,11.958142667s
2024-01-29 16:49:05.360028108 +0000 UTC m=+243.585855870,100000,9,1.013445ms,5.670663ms,281.863µs,986.7329378471084,11.355685206s
2024-01-29 16:49:16.057328245 +0000 UTC m=+254.283156004,100000,10,1.06031ms,9.183839ms,289.147µs,943.1196289487206,10.693106126s
2024-01-29 16:49:26.335629759 +0000 UTC m=+264.561457518,100000,11,1.12042ms,7.197131ms,296.174µs,892.5222622965181,10.274753509s
2024-01-29 16:49:36.277941609 +0000 UTC m=+274.503769368,100000,12,1.182766ms,14.932011ms,280.986µs,845.4754474268384,9.938502008s
2024-01-29 16:49:45.952576904 +0000 UTC m=+284.178404664,100000,13,1.246947ms,11.397108ms,291.896µs,801.9585050096074,9.671030503s
2024-01-29 16:49:55.343469219 +0000 UTC m=+293.569296978,100000,14,1.30246ms,9.705956ms,315.675µs,767.7776926888577,9.387382824s
2024-01-29 16:50:04.508867463 +0000 UTC m=+302.734695223,100000,15,1.361689ms,9.277996ms,280.127µs,734.3817800097287,9.161817728s
