Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-24 15:33:51.534854946 +0000 UTC m=+2.348671351,0,0,0,0,0,0,0
2024-01-24 15:34:27.820022314 +0000 UTC m=+38.633838713,100000,1,358.831µs,4.746207ms,183.57µs,2786.820652844628,36.281278191s
2024-01-24 15:34:48.739232017 +0000 UTC m=+59.553048476,100000,2,413.646µs,8.629131ms,178.647µs,2417.52467764086,20.915611211s
2024-01-24 15:35:04.360489134 +0000 UTC m=+75.174305537,100000,3,462.971µs,3.545979ms,175.946µs,2159.961518410703,15.615827831s
2024-01-24 15:35:16.568069249 +0000 UTC m=+87.381885648,100000,4,482.14µs,2.495229ms,168.95µs,2074.0825858017347,12.203432791s
2024-01-24 15:35:26.85049972 +0000 UTC m=+97.664316119,100000,5,507.707µs,3.730964ms,187.35µs,1969.637319090499,10.278911303s
2024-01-24 15:35:35.84704099 +0000 UTC m=+106.660857395,100000,6,532.908µs,3.147031ms,197.534µs,1876.494501817179,8.992921541s
2024-01-24 15:35:43.815220721 +0000 UTC m=+114.629037121,100000,7,550.751µs,3.714435ms,195.284µs,1815.702462405962,7.964397476s
2024-01-24 15:35:51.067051396 +0000 UTC m=+121.880867795,100000,8,572.699µs,5.172522ms,198.702µs,1746.1158213533338,7.248298372s
2024-01-24 15:35:57.837336979 +0000 UTC m=+128.651153381,100000,9,601.239µs,3.999864ms,197.073µs,1663.2316684542202,6.766798949s
2024-01-24 15:36:04.062576138 +0000 UTC m=+134.876392548,100000,10,613.974µs,2.935525ms,201.943µs,1628.7315077598787,6.221411726s
2024-01-24 15:36:10.029796489 +0000 UTC m=+140.843612888,100000,11,646.721µs,3.80226ms,202.679µs,1546.2617998896403,5.962115236s
2024-01-24 15:36:15.765206395 +0000 UTC m=+146.579022803,100000,12,678.382µs,4.712492ms,193.35µs,1474.0946910428286,5.731903081s
2024-01-24 15:36:21.184821213 +0000 UTC m=+151.998637613,100000,13,693.992µs,3.327234ms,200.785µs,1440.937417297505,5.416060268s
2024-01-24 15:36:26.365555971 +0000 UTC m=+157.179372371,100000,14,714.681µs,5.294756ms,200.696µs,1399.224194816938,5.177207301s
2024-01-24 15:36:31.348778914 +0000 UTC m=+162.162595313,100000,15,734.868µs,5.183626ms,193.703µs,1360.7867814115134,4.979730593s
2024-01-24 15:36:36.130898646 +0000 UTC m=+166.944715045,100000,16,751.35µs,4.414876ms,200.763µs,1330.9365074332661,4.77847999s
2024-01-24 15:36:40.931170552 +0000 UTC m=+171.744986951,100000,17,801.375µs,4.743947ms,235.725µs,1247.8546525147626,4.796621554s
2024-01-24 15:36:45.523182612 +0000 UTC m=+176.336999014,100000,18,810.943µs,4.512129ms,220.29µs,1233.1313924197982,4.588533264s
2024-01-24 15:36:49.911423159 +0000 UTC m=+180.725239557,100000,19,818.204µs,5.416796ms,230.048µs,1222.1879378516091,4.384778882s
2024-01-24 15:36:54.259691005 +0000 UTC m=+185.073507404,100000,20,852.718µs,4.44794ms,235.945µs,1172.7200111412312,4.344809787s
2024-01-24 15:36:58.458201957 +0000 UTC m=+189.272018358,100000,21,863.6µs,4.269361ms,250.223µs,1157.9422298170646,4.194374818s
2024-01-24 15:37:02.584346866 +0000 UTC m=+193.398163304,100000,22,889.7µs,7.240734ms,238.832µs,1123.9734974884286,4.122428627s
2024-01-24 15:37:06.645105152 +0000 UTC m=+197.458921551,100000,23,915.256µs,4.002937ms,219.106µs,1092.590083124608,4.057293816s
2024-01-24 15:37:10.646590269 +0000 UTC m=+201.460406668,100000,24,941.663µs,4.866874ms,257.898µs,1061.9502784463173,3.997975397s
2024-01-24 15:37:14.553135314 +0000 UTC m=+205.366951713,100000,25,955.257µs,4.354422ms,249.691µs,1046.8376667447515,3.902933692s
2024-01-24 15:37:18.414406274 +0000 UTC m=+209.228222673,100000,26,979.923µs,4.244432ms,262.345µs,1020.4879415137578,3.856168929s
2024-01-24 15:37:22.246102664 +0000 UTC m=+213.059919063,100000,27,1.01192ms,4.097432ms,220.839µs,988.2202812039525,3.828223794s
2024-01-24 15:37:25.941678377 +0000 UTC m=+216.755494776,100000,28,1.012544ms,4.79164ms,238.757µs,987.6108420665469,3.692067549s
2024-01-24 15:37:29.656549111 +0000 UTC m=+220.470365514,100000,29,1.052524ms,4.433286ms,248.855µs,950.097067788045,3.711257346s
2024-01-24 15:37:33.25820634 +0000 UTC m=+224.072022743,100000,30,1.055951ms,5.743461ms,233.723µs,947.0129058504585,3.598042296s
2024-01-24 15:37:36.727392598 +0000 UTC m=+227.541208997,100000,31,1.050185ms,6.744641ms,270.298µs,952.2123361258737,3.465402269s
2024-01-24 15:37:40.328717351 +0000 UTC m=+231.142533749,100000,32,1.126012ms,4.520596ms,241.199µs,888.0900003059817,3.59720892s
2024-01-24 15:37:43.809388706 +0000 UTC m=+234.623205111,100000,33,1.119836ms,4.167881ms,245.939µs,892.9872714339974,3.476979723s
2024-01-24 15:37:47.241184571 +0000 UTC m=+238.055000970,100000,34,1.138935ms,4.421753ms,282.78µs,878.013132312597,3.428343587s
2024-01-24 15:37:50.6712501 +0000 UTC m=+241.485066503,100000,35,1.17078ms,6.79345ms,258.746µs,854.1308100758922,3.426549308s
2024-01-24 15:37:54.07218532 +0000 UTC m=+244.886001720,100000,36,1.195267ms,5.180037ms,262.505µs,836.6329636205664,3.397406696s
2024-01-24 15:37:57.363211885 +0000 UTC m=+248.177028284,100000,37,1.187593ms,5.956482ms,278.935µs,842.0387757974303,3.287288349s
2024-01-24 15:38:00.651921874 +0000 UTC m=+251.465738274,100000,38,1.219271ms,4.704369ms,246.281µs,820.1620075348568,3.285174625s
2024-01-24 15:38:03.798493435 +0000 UTC m=+254.612309845,100000,39,1.193313ms,4.718923ms,273.809µs,838.0027567411822,3.142901563s
2024-01-24 15:38:06.959997425 +0000 UTC m=+257.773813824,100000,40,1.231032ms,5.139211ms,225.863µs,812.3261442095765,3.157832847s
2024-01-24 15:38:10.126716994 +0000 UTC m=+260.940533393,100000,41,1.261193ms,5.565825ms,276.064µs,792.8995026759413,3.163166948s
2024-01-24 15:38:13.240014295 +0000 UTC m=+264.053830694,100000,42,1.271669ms,6.155556ms,285.657µs,786.3681105507653,3.10966482s
2024-01-24 15:38:16.319793457 +0000 UTC m=+267.133609856,100000,43,1.285595ms,5.587068ms,293.456µs,777.8497584603332,3.075986162s
2024-01-24 15:38:19.429068916 +0000 UTC m=+270.242885315,100000,44,1.331178ms,6.084212ms,241.726µs,751.2138276039826,3.105753294s
2024-01-24 15:38:22.497359313 +0000 UTC m=+273.311175712,100000,45,1.345821ms,5.771287ms,310.553µs,743.040581703455,3.064777015s
2024-01-24 15:38:25.59200604 +0000 UTC m=+276.405822443,100000,46,1.381765ms,5.754368ms,282.366µs,723.7117422517096,3.091163583s
2024-01-24 15:38:28.68611323 +0000 UTC m=+279.499929629,100000,47,1.409549ms,4.868589ms,266.696µs,709.4466729014633,3.090628505s
2024-01-24 15:38:31.676917986 +0000 UTC m=+282.490734388,100000,48,1.392382ms,5.535943ms,270.306µs,718.1933732961359,2.985486665s
2024-01-24 15:38:34.65733962 +0000 UTC m=+285.471156019,100000,49,1.416414ms,5.926065ms,269.758µs,706.0079454986196,2.976947468s
2024-01-24 15:38:37.598486608 +0000 UTC m=+288.412303007,100000,50,1.427469ms,5.90076ms,273.643µs,700.5403167762398,2.937331328s
2024-01-24 15:38:40.449523678 +0000 UTC m=+291.263340077,100000,51,1.410572ms,6.375506ms,290.138µs,708.9321512104972,2.847535304s
2024-01-24 15:38:43.37956162 +0000 UTC m=+294.193378019,100000,52,1.479344ms,5.950878ms,284.598µs,675.9748435384154,2.926511085s
2024-01-24 15:38:46.328105074 +0000 UTC m=+297.141921473,100000,53,1.520524ms,5.637798ms,282.948µs,657.6679300313248,2.945104865s
2024-01-24 15:38:49.220500975 +0000 UTC m=+300.034317374,100000,54,1.515587ms,6.024335ms,294.993µs,659.8101615434579,2.888758603s
2024-01-24 15:38:52.135273092 +0000 UTC m=+302.949089490,100000,55,1.551862ms,7.555758ms,244.057µs,644.3870989008673,2.911219832s
2024-01-24 15:38:54.98745409 +0000 UTC m=+305.801270489,100000,56,1.549419ms,6.440679ms,276.01µs,645.4030927023542,2.848562435s
2024-01-24 15:38:57.924703038 +0000 UTC m=+308.738519441,100000,57,1.621927ms,5.85849ms,288.785µs,616.5502336776519,2.933644346s
2024-01-24 15:39:00.711429132 +0000 UTC m=+311.525245534,100000,58,1.569623ms,5.615641ms,245.046µs,637.0955683078938,2.782557143s
2024-01-24 15:39:03.582715034 +0000 UTC m=+314.396531432,100000,59,1.644669ms,6.828717ms,284.251µs,608.0248583863566,2.867725s
2024-01-24 15:39:06.378215977 +0000 UTC m=+317.192032376,100000,60,1.62817ms,6.347866ms,271.28µs,614.1862432994113,2.79144602s
2024-01-24 15:39:09.17253783 +0000 UTC m=+319.986354231,100000,61,1.656788ms,6.10325ms,292.58µs,603.5772749364555,2.790780433s
2024-01-24 15:39:11.973383744 +0000 UTC m=+322.787200143,100000,62,1.691678ms,7.258004ms,270.619µs,591.1289461788541,2.797270888s
2024-01-24 15:39:14.655688395 +0000 UTC m=+325.469504794,100000,63,1.638296ms,6.437312ms,279.538µs,610.3900416946225,2.678728576s
2024-01-24 15:39:17.375844857 +0000 UTC m=+328.189661256,100000,64,1.687572ms,6.120539ms,311.91µs,592.5672626052842,2.716658879s
2024-01-24 15:39:20.086345221 +0000 UTC m=+330.900161620,100000,65,1.710058ms,8.079073ms,281.089µs,584.775310999036,2.706755206s
2024-01-24 15:39:22.767355172 +0000 UTC m=+333.581171572,100000,66,1.713135ms,10.082841ms,295.583µs,583.7249956137161,2.677523006s
2024-01-24 15:39:25.491937337 +0000 UTC m=+336.305753736,100000,67,1.771704ms,7.37561ms,294.521µs,564.4283517445655,2.719642828s
2024-01-24 15:39:28.202617335 +0000 UTC m=+339.016433737,100000,68,1.788225ms,6.91289ms,291.107µs,559.2135652346151,2.706608567s
2024-01-24 15:39:30.866013756 +0000 UTC m=+341.679830156,100000,69,1.774327ms,7.630434ms,313.671µs,563.5939323008383,2.659262529s
2024-01-24 15:39:33.541995256 +0000 UTC m=+344.355811656,100000,70,1.816349ms,6.778463ms,318.811µs,550.5547944944684,2.669515068s
2024-01-24 15:39:36.122616486 +0000 UTC m=+346.936432885,100000,71,1.771969ms,8.16857ms,317.301µs,564.3438689026834,2.577096918s
2024-01-24 15:39:38.760003408 +0000 UTC m=+349.573819807,100000,72,1.842322ms,8.371584ms,297.294µs,542.7930537509203,2.633904175s
2024-01-24 15:39:41.322853378 +0000 UTC m=+352.136669762,100000,73,1.81754ms,6.948716ms,318.107µs,550.1939259956184,2.559137316s
2024-01-24 15:39:43.964948595 +0000 UTC m=+354.778764994,100000,74,1.895254ms,7.790318ms,316.913µs,527.6335925049891,2.638527242s
2024-01-24 15:39:46.593139528 +0000 UTC m=+357.406955927,100000,75,1.903753ms,6.417209ms,290.503µs,525.2781426617522,2.624001899s
2024-01-24 15:39:49.146080187 +0000 UTC m=+359.959896587,100000,76,1.871598ms,8.667604ms,343.529µs,534.3026772387071,2.549065754s
2024-01-24 15:39:51.746269628 +0000 UTC m=+362.560086037,100000,77,1.936305ms,6.965001ms,354.019µs,516.4475166133061,2.596560088s
2024-01-24 15:39:54.391556214 +0000 UTC m=+365.205372613,100000,78,1.999225ms,9.000347ms,314.543µs,500.1938220448562,2.64166927s
2024-01-24 15:39:56.941143132 +0000 UTC m=+367.754959531,100000,79,1.944281ms,7.141416ms,312.848µs,514.3289047889245,2.546025367s
2024-01-24 15:39:59.610234402 +0000 UTC m=+370.424050802,100000,80,2.072047ms,7.285463ms,356.951µs,482.6143657922334,2.665479749s
2024-01-24 15:40:02.18582783 +0000 UTC m=+372.999644229,100000,81,2.017948ms,7.712854ms,383.069µs,495.5527130354384,2.572108809s
2024-01-24 15:40:04.714873816 +0000 UTC m=+375.528690215,100000,82,2.012808ms,7.753187ms,290.23µs,496.81836158468406,2.525217461s
2024-01-24 15:40:07.342005504 +0000 UTC m=+378.155821903,100000,83,2.112982ms,9.569765ms,373.891µs,473.2646045313775,2.621793456s
2024-01-24 15:40:09.955305042 +0000 UTC m=+380.769121445,100000,84,2.125104ms,7.866497ms,376.45µs,470.56501934995663,2.609770766s
2024-01-24 15:40:12.543352038 +0000 UTC m=+383.357168437,100000,85,2.125807ms,7.475124ms,328.031µs,470.4094823007859,2.584539524s
2024-01-24 15:40:15.099422192 +0000 UTC m=+385.913238592,100000,86,2.133894ms,8.170024ms,342.342µs,468.6266196613948,2.552343653s
2024-01-24 15:40:17.649667877 +0000 UTC m=+388.463484277,100000,87,2.139226ms,8.038413ms,358.408µs,467.4586741649797,2.546711561s
2024-01-24 15:40:20.131819748 +0000 UTC m=+390.945636147,100000,88,2.108851ms,8.834018ms,342.956µs,474.1917015387111,2.478416859s
2024-01-24 15:40:22.685553867 +0000 UTC m=+393.499370266,100000,89,2.197274ms,9.242624ms,346.674µs,455.10920570166974,2.549863369s
2024-01-24 15:40:25.204204835 +0000 UTC m=+396.018021234,100000,90,2.188958ms,8.167128ms,372.474µs,456.83827882081965,2.514715328s
2024-01-24 15:40:27.672708709 +0000 UTC m=+398.486525111,100000,91,2.168928ms,8.842659ms,298.412µs,461.05710343676867,2.464941759s
2024-01-24 15:40:30.234055176 +0000 UTC m=+401.047871590,100000,92,2.275079ms,10.861205ms,350.957µs,439.545059024851,2.556121279s
2024-01-24 15:40:32.795593953 +0000 UTC m=+403.609410355,100000,93,2.301149ms,9.077308ms,337.951µs,434.56539783606263,2.558028069s
2024-01-24 15:40:35.263322413 +0000 UTC m=+406.077138816,100000,94,2.237278ms,8.453553ms,298.317µs,446.9716133525656,2.464237938s
2024-01-24 15:40:37.782322849 +0000 UTC m=+408.596139248,100000,95,2.316806ms,8.507951ms,401.027µs,431.62860755923214,2.515288894s
2024-01-24 15:40:40.293207762 +0000 UTC m=+411.107024161,100000,96,2.332509ms,8.658079ms,357.203µs,428.7228671913283,2.507252116s
2024-01-24 15:40:42.781868611 +0000 UTC m=+413.595685011,100000,97,2.338173ms,9.420999ms,381.492µs,427.68423365926617,2.484811827s
2024-01-24 15:40:45.203058687 +0000 UTC m=+416.016875085,100000,98,2.295644ms,9.798598ms,389.011µs,435.60745679775584,2.41766072s
2024-01-24 15:40:47.643798541 +0000 UTC m=+418.457614941,100000,99,2.341159ms,10.115246ms,244.181µs,427.13877540146706,2.437163346s
2024-01-24 15:40:50.131090137 +0000 UTC m=+420.944906537,100000,100,2.408475ms,13.065448ms,321.065µs,415.2004314614076,2.483819722s
