Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-01-08 14:37:44.339547505 +0000 UTC m=+0.005745667,0,0,0,0,0,0,0
2024-01-08 14:37:44.501724214 +0000 UTC m=+0.167922417,1000,1,158.262µs,3.68325ms,58.834µs,6318.625046464799,160.517167ms
2024-01-08 14:37:44.591764422 +0000 UTC m=+0.257962626,1000,2,176.525µs,513.542µs,89.334µs,5664.896620621783,89.402583ms
2024-01-08 14:37:44.657560922 +0000 UTC m=+0.323759126,1000,3,192.097µs,452.334µs,88.125µs,5205.691228131255,65.086791ms
2024-01-08 14:37:44.711792422 +0000 UTC m=+0.377990626,1000,4,210.213µs,663.958µs,85.5µs,4757.06736805629,53.551042ms
2024-01-08 14:37:44.758114547 +0000 UTC m=+0.424312751,1000,5,223.916µs,751.833µs,100.292µs,4465.9413823042505,45.608625ms
2024-01-08 14:37:44.799452881 +0000 UTC m=+0.465651084,1000,6,237.729µs,672.875µs,101.958µs,4206.4601123408365,40.448542ms
2024-01-08 14:37:44.869625422 +0000 UTC m=+0.535823626,1000,7,479.018µs,7.8945ms,102.083µs,2087.6004800470705,69.439542ms
2024-01-08 14:37:44.905832839 +0000 UTC m=+0.572031043,1000,8,278.353µs,894.375µs,99.208µs,3592.550820008347,35.421792ms
2024-01-08 14:37:44.938821797 +0000 UTC m=+0.605019959,1000,9,280.742µs,819.333µs,115.084µs,3561.983869427816,32.317ms
2024-01-08 14:37:44.968543381 +0000 UTC m=+0.634741543,1000,10,285.006µs,887.917µs,123.459µs,3508.687155018423,29.066042ms
2024-01-08 14:37:44.996566089 +0000 UTC m=+0.662764293,1000,11,292.699µs,903.333µs,113.542µs,3416.4759401890674,27.283625ms
2024-01-08 14:37:45.023626256 +0000 UTC m=+0.689824459,1000,12,307.285µs,1.264917ms,103.625µs,3254.3005720367237,26.312ms
2024-01-08 14:37:45.049947964 +0000 UTC m=+0.716146168,1000,13,325.167µs,1.196625ms,96.125µs,3075.3352103846814,25.551792ms
2024-01-08 14:37:45.075505214 +0000 UTC m=+0.741703418,1000,14,336.194µs,868.875µs,113.167µs,2974.472311211328,24.807667ms
2024-01-08 14:37:45.108493672 +0000 UTC m=+0.774691876,1000,15,474.599µs,3.441417ms,91.292µs,2107.0386196095524,32.294583ms
2024-01-08 14:37:45.131692047 +0000 UTC m=+0.797890251,1000,16,344.289µs,791.25µs,109.459µs,2904.534385391317,22.452084ms
2024-01-08 14:37:45.153933589 +0000 UTC m=+0.820131793,1000,17,355.313µs,1.075958ms,98.333µs,2814.415874908626,21.534125ms
2024-01-08 14:37:45.175090964 +0000 UTC m=+0.841289126,1000,18,354.394µs,1.2875ms,86.75µs,2821.712539609543,20.382ms
2024-01-08 14:37:45.196077922 +0000 UTC m=+0.862276126,1000,19,374.806µs,1.209083ms,101.333µs,2668.044893281099,20.298083ms
2024-01-08 14:37:45.216330547 +0000 UTC m=+0.882528751,1000,20,378.514µs,1.298ms,113.208µs,2641.908133789726,19.599917ms
2024-01-08 14:37:45.236480297 +0000 UTC m=+0.902678459,1000,21,391.141µs,1.246583ms,118.667µs,2556.620352423724,19.497791ms
2024-01-08 14:37:45.256451631 +0000 UTC m=+0.922649834,1000,22,402.623µs,1.081083ms,104.458µs,2483.7088877100928,19.300666ms
2024-01-08 14:37:45.277334506 +0000 UTC m=+0.943532709,1000,23,453.387µs,1.245083ms,140.5µs,2205.6179771910515,20.174584ms
2024-01-08 14:37:45.296907839 +0000 UTC m=+0.963106001,1000,24,432.121µs,1.337125ms,93µs,2314.165728825935,18.884833ms
2024-01-08 14:37:45.316275547 +0000 UTC m=+0.982473751,1000,25,451.654µs,1.425042ms,133.333µs,2214.080418739642,18.771625ms
2024-01-08 14:37:45.335894381 +0000 UTC m=+1.002092584,1000,26,468.71µs,1.263708ms,135.125µs,2133.514059611232,18.810875ms
2024-01-08 14:37:45.353469506 +0000 UTC m=+1.019667668,1000,27,439.474µs,1.35575ms,110.875µs,2275.444634567198,17.030083ms
2024-01-08 14:37:45.372584547 +0000 UTC m=+1.038782751,1000,28,482.217µs,1.526875ms,89.417µs,2073.7550346961716,18.481584ms
2024-01-08 14:37:45.391563714 +0000 UTC m=+1.057761918,1000,29,505.046µs,1.528791ms,134.458µs,1980.016203343799,18.266125ms
2024-01-08 14:37:45.411428547 +0000 UTC m=+1.077626709,1000,30,551.797µs,1.757375ms,126.916µs,1812.258264229328,19.085959ms
2024-01-08 14:37:45.430052506 +0000 UTC m=+1.096250710,1000,31,519.186µs,1.652917ms,119.916µs,1926.0896346991303,17.854292ms
2024-01-08 14:37:45.449583631 +0000 UTC m=+1.115781835,1000,32,578.111µs,1.481208ms,153.917µs,1729.7692455133845,18.818791ms
2024-01-08 14:37:45.467460881 +0000 UTC m=+1.133659043,1000,33,543.451µs,1.684291ms,121.417µs,1840.0919536639378,17.0235ms
2024-01-08 14:37:45.486550339 +0000 UTC m=+1.152748501,1000,34,596.43µs,1.276208ms,138.125µs,1676.6417939259725,18.054916ms
2024-01-08 14:37:45.504565173 +0000 UTC m=+1.170763335,1000,35,579.072µs,1.669416ms,135µs,1726.8995411420692,17.355916ms
2024-01-08 14:37:45.521547006 +0000 UTC m=+1.187745168,1000,36,566.759µs,1.633375ms,127.833µs,1764.4173181279166,16.261083ms
2024-01-08 14:37:45.539229339 +0000 UTC m=+1.205427543,1000,37,596.805µs,1.913167ms,132.958µs,1675.5867364374283,17.071125ms
2024-01-08 14:37:45.557513131 +0000 UTC m=+1.223711335,1000,38,621.471µs,1.708834ms,161.167µs,1609.0835081113134,17.564583ms
2024-01-08 14:37:45.574170923 +0000 UTC m=+1.240369126,1000,39,596.588µs,1.478209ms,112.042µs,1676.1960956937603,15.94725ms
2024-01-08 14:37:45.590524506 +0000 UTC m=+1.256722710,1000,40,607.158µs,1.418584ms,162.333µs,1647.0170315379535,15.649875ms
2024-01-08 14:37:45.608684298 +0000 UTC m=+1.274882501,1000,41,628.793µs,1.971625ms,183.208µs,1590.3462471314606,17.353833ms
2024-01-08 14:37:45.624154006 +0000 UTC m=+1.290352210,1000,42,577.023µs,1.541833ms,136.125µs,1733.0316913110503,14.762541ms
2024-01-08 14:37:45.640491673 +0000 UTC m=+1.306689876,1000,43,643.277µs,2.192833ms,175.75µs,1554.5393448949214,15.652208ms
2024-01-08 14:37:45.656950464 +0000 UTC m=+1.323148668,1000,44,667.008µs,1.656ms,195.75µs,1499.2307926556737,15.737291ms
2024-01-08 14:37:45.674459381 +0000 UTC m=+1.340657585,1000,45,698.781µs,1.787375ms,110.166µs,1431.0615656480975,16.764375ms
2024-01-08 14:37:45.690255714 +0000 UTC m=+1.356453918,1000,46,664.164µs,1.711625ms,138.75µs,1505.651436317317,15.154042ms
2024-01-08 14:37:45.706280881 +0000 UTC m=+1.372479043,1000,47,699.379µs,2.208167ms,145.792µs,1429.8382039413405,15.353959ms
2024-01-08 14:37:45.722735923 +0000 UTC m=+1.388934085,1000,48,724.989µs,1.867042ms,176.875µs,1379.3306504772863,15.72175ms
2024-01-08 14:37:45.739416714 +0000 UTC m=+1.405614918,1000,49,708.775µs,1.873208ms,159.708µs,1410.883781254767,15.871416ms
2024-01-08 14:37:45.755675423 +0000 UTC m=+1.421873626,1000,50,735.002µs,2.006584ms,202.417µs,1360.5392845752472,15.464083ms
2024-01-08 14:37:45.771806256 +0000 UTC m=+1.438004460,1000,51,733.676µs,2.217375ms,167.5µs,1362.9981465692233,15.375ms
2024-01-08 14:37:45.787667131 +0000 UTC m=+1.453865293,1000,52,742.162µs,2.413375ms,115.709µs,1347.4133174317003,15.17625ms
2024-01-08 14:37:45.803120214 +0000 UTC m=+1.469318418,1000,53,736.159µs,2.370334ms,134.083µs,1358.4017335357828,14.7425ms
2024-01-08 14:37:45.818418964 +0000 UTC m=+1.484617168,1000,54,712.072µs,2.235667ms,165.208µs,1404.3522603902775,14.625625ms
2024-01-08 14:37:45.834356048 +0000 UTC m=+1.500554251,1000,55,781.504µs,2.6865ms,160.667µs,1279.5835493995462,15.281375ms
2024-01-08 14:37:45.849505923 +0000 UTC m=+1.515704126,1000,56,754.888µs,1.944916ms,209.25µs,1324.6985191829785,14.412959ms
2024-01-08 14:37:45.863869714 +0000 UTC m=+1.530067918,1000,57,745.209µs,2.052625ms,204.542µs,1341.9045626498264,13.72025ms
2024-01-08 14:37:45.879873006 +0000 UTC m=+1.546071210,1000,58,809.461µs,2.220458ms,189.583µs,1235.3889315674585,15.34825ms
2024-01-08 14:37:45.894914464 +0000 UTC m=+1.561112668,1000,59,790.476µs,1.793458ms,180.792µs,1265.0600720859566,14.380916ms
2024-01-08 14:37:45.911516798 +0000 UTC m=+1.577715001,1000,60,870.421µs,2.554042ms,193.625µs,1148.868372752361,15.899834ms
2024-01-08 14:37:45.927150048 +0000 UTC m=+1.593348251,1000,61,812.316µs,2.302458ms,178.791µs,1231.0477763511383,14.637791ms
2024-01-08 14:37:45.941420589 +0000 UTC m=+1.607618793,1000,62,794.619µs,1.797583ms,175.417µs,1258.463171118085,13.580792ms
2024-01-08 14:37:45.957447964 +0000 UTC m=+1.623646168,1000,63,901.934µs,1.909458ms,237.958µs,1108.7277603513862,15.417708ms
2024-01-08 14:37:45.974367423 +0000 UTC m=+1.640565626,1000,64,947.249µs,2.258208ms,224.042µs,1055.6877527641104,16.243625ms
2024-01-08 14:37:45.990163339 +0000 UTC m=+1.656361543,1000,65,888.805µs,2.552667ms,121.625µs,1125.1053970608332,14.754541ms
