id,Time,Production_of_CHP,Production_of_PV,Grid_Reference_SMARD,Total_Load,Feed,Brown Coal,Hard Coal,Other conventional fuel,Natural Gas,Biomass,Hydropower,WindOffshore,WindOnshore,Photovoltaic,Other Renewables,Pumped Storage,EVSE_cluster,Haus_Harbig,Haus_Fleming
0,2020-01-01 00:00:00+00:00,428.0,0.0,0.0,280.0,-149.0,1088,49,250,150,287,34,126,1004,0,19,285,0.018,27.0,26.0
1,2020-01-01 00:15:00+00:00,430.0,0.0,0.0,294.0,-136.0,1088,49,249,148,287,34,126,962,0,19,268,0.014,27.5,27.0
2,2020-01-01 00:30:00+00:00,429.0,0.0,0.0,291.0,-138.0,1093,49,247,149,282,33,112,930,0,19,232,0.085,27.5,28.0
3,2020-01-01 00:45:00+00:00,430.0,0.0,0.0,276.0,-153.0,1102,49,247,151,285,34,110,920,0,19,203,0.383,27.5,27.5
4,2020-01-01 01:00:00+00:00,431.0,0.0,0.0,285.0,-146.0,1157,49,246,149,287,34,107,942,0,19,1,0.313,26.5,26.0
5,2020-01-01 01:15:00+00:00,430.0,0.0,0.0,282.0,-147.0,1172,49,246,145,289,34,100,923,0,19,0,0.311,26.5,24.5
6,2020-01-01 01:30:00+00:00,430.0,0.0,0.0,273.0,-156.0,1178,49,247,144,286,34,97,949,0,18,0,0.324,27.0,26.0
7,2020-01-01 01:45:00+00:00,430.0,0.0,0.0,278.0,-152.0,1175,49,245,144,287,34,108,968,0,19,0,0.318,27.0,27.5
8,2020-01-01 02:00:00+00:00,430.0,0.0,0.0,279.0,-151.0,1185,49,246,145,287,34,132,925,0,19,0,0.318,26.5,27.0
9,2020-01-01 02:15:00+00:00,430.0,0.0,0.0,289.0,-142.0,1189,49,247,145,283,33,168,835,0,18,0,0.317,27.0,27.0
10,2020-01-01 02:30:00+00:00,430.0,0.0,0.0,284.0,-146.0,1190,49,245,145,286,34,167,839,0,18,0,0.327,26.5,26.5
11,2020-01-01 02:45:00+00:00,430.0,0.0,0.0,287.0,-143.0,1197,49,241,145,288,34,173,843,0,18,0,0.325,25.5,27.5
12,2020-01-01 03:00:00+00:00,431.0,0.0,0.0,284.0,-147.0,1212,49,244,144,289,34,179,825,0,18,0,0.31,25.5,28.0
13,2020-01-01 03:15:00+00:00,430.0,0.0,0.0,277.0,-154.0,1210,49,246,144,287,34,191,801,0,18,0,0.322,25.0,26.0
14,2020-01-01 03:30:00+00:00,430.0,0.0,0.0,278.0,-152.0,1215,49,246,144,287,34,178,787,0,18,0,0.322,25.0,24.5
15,2020-01-01 03:45:00+00:00,430.0,0.0,0.0,287.0,-143.0,1225,49,246,145,286,34,181,740,0,19,0,0.319,25.5,25.0
16,2020-01-01 04:00:00+00:00,431.0,0.0,0.0,288.0,-142.0,1240,49,244,149,289,34,189,652,0,19,0,0.316,25.5,27.0
17,2020-01-01 04:15:00+00:00,430.0,0.0,0.0,283.0,-147.0,1239,49,246,149,287,34,197,599,0,19,0,0.322,25.5,28.0
18,2020-01-01 04:30:00+00:00,431.0,0.0,0.0,282.0,-148.0,1238,49,246,149,290,34,187,591,0,19,0,0.315,25.5,28.0
19,2020-01-01 04:45:00+00:00,431.0,0.0,0.0,285.0,-146.0,1244,49,249,149,287,34,191,583,0,19,0,0.32,25.5,28.5
20,2020-01-01 05:00:00+00:00,431.0,0.0,0.0,287.0,-144.0,1250,49,248,150,288,34,208,541,0,19,0,0.32,25.5,29.0
21,2020-01-01 05:15:00+00:00,430.0,0.0,0.0,287.0,-143.0,1252,49,250,150,287,34,220,500,0,19,0,0.329,25.5,31.0
22,2020-01-01 05:30:00+00:00,430.0,0.0,0.0,293.0,-137.0,1253,49,250,150,287,34,232,495,0,19,0,0.324,25.5,41.0
23,2020-01-01 05:45:00+00:00,430.0,0.0,0.0,301.0,-129.0,1256,49,249,155,287,34,234,495,0,19,0,0.671,25.0,51.0
24,2020-01-01 06:00:00+00:00,430.0,0.0,0.0,312.0,-118.0,1254,49,250,163,288,34,232,505,0,19,0,0.731,26.0,54.0
25,2020-01-01 06:15:00+00:00,429.0,0.0,0.0,328.0,-101.0,1254,49,250,164,289,34,233,508,0,19,0,0.494,27.5,54.5
26,2020-01-01 06:30:00+00:00,428.0,0.0,0.0,356.0,-72.0,1256,49,250,164,286,34,235,534,0,19,0,0.527,29.0,54.5
27,2020-01-01 06:45:00+00:00,428.0,0.0,0.0,360.0,-67.0,1257,49,249,168,286,34,236,551,0,19,0,0.615,29.0,53.0
28,2020-01-01 07:00:00+00:00,428.0,0.0,0.0,357.0,-71.0,1257,49,250,176,287,34,232,561,0,19,0,0.572,29.0,52.0
29,2020-01-01 07:15:00+00:00,428.0,0.0,0.0,351.0,-77.0,1255,49,251,177,280,33,231,556,0,19,0,0.578,29.0,52.0
30,2020-01-01 07:30:00+00:00,429.0,0.0,0.0,358.0,-71.0,1254,49,251,178,283,33,236,556,0,19,0,0.613,28.5,51.0
31,2020-01-01 07:45:00+00:00,427.0,0.0,0.0,361.0,-67.0,1251,49,251,178,283,33,242,536,0,19,0,0.696,28.5,52.5
32,2020-01-01 08:00:00+00:00,428.0,0.0,0.0,360.0,-68.0,1248,49,250,178,287,34,251,527,0,19,0,0.631,29.0,53.0
33,2020-01-01 08:15:00+00:00,428.0,0.0,0.0,365.0,-63.0,1251,49,249,178,285,33,255,516,0,19,0,0.597,29.0,52.5
34,2020-01-01 08:30:00+00:00,427.0,0.0,0.0,361.0,-67.0,1263,49,250,178,285,33,254,492,0,19,0,0.692,28.5,53.0
35,2020-01-01 08:45:00+00:00,428.0,0.0,0.0,349.0,-79.0,1332,49,251,178,282,33,255,491,0,19,1,0.574,28.5,51.5
36,2020-01-01 09:00:00+00:00,427.0,0.0,0.0,363.0,-64.0,1385,49,251,175,285,33,254,489,0,19,22,0.618,28.5,50.5
37,2020-01-01 09:15:00+00:00,427.0,0.0,0.0,352.0,-76.0,1404,49,250,176,284,33,254,492,3,19,11,0.655,28.0,50.5
38,2020-01-01 09:30:00+00:00,427.0,1.72,0.0,360.0,-69.0,1396,49,250,178,285,33,254,491,23,19,12,0.538,27.0,50.0
39,2020-01-01 09:45:00+00:00,428.0,2.15,0.0,351.0,-79.0,1399,49,250,178,285,33,253,468,53,19,14,0.713,27.0,50.5
40,2020-01-01 10:00:00+00:00,428.0,2.84,0.0,350.0,-81.0,1403,49,243,178,280,33,249,466,91,19,19,0.297,27.0,51.0
41,2020-01-01 10:15:00+00:00,428.0,4.77,0.0,347.0,-85.0,1410,49,246,177,279,33,246,457,142,19,11,0.331,26.5,51.5
42,2020-01-01 10:30:00+00:00,428.0,7.41,0.0,346.0,-89.0,1426,49,249,176,278,33,241,452,195,19,10,2.063,26.5,51.5
43,2020-01-01 10:45:00+00:00,427.0,8.14,0.0,354.0,-81.0,1434,49,248,178,286,34,237,438,263,19,12,2.311,27.0,50.5
44,2020-01-01 11:00:00+00:00,429.0,9.26,0.0,356.0,-82.0,1446,49,248,178,285,33,240,399,320,19,1,2.628,26.5,50.0
45,2020-01-01 11:15:00+00:00,428.0,10.3,0.0,356.0,-82.0,1463,49,246,178,281,33,240,386,373,19,0,7.18,25.0,50.0
46,2020-01-01 11:30:00+00:00,428.0,9.22,0.0,354.0,-83.0,1480,49,249,177,281,33,243,374,425,19,0,7.057,24.5,50.5
47,2020-01-01 11:45:00+00:00,428.0,8.21,0.0,349.0,-87.0,1508,49,249,176,286,34,243,378,489,19,0,7.021,24.0,51.0
48,2020-01-01 12:00:00+00:00,428.0,7.59,0.0,344.0,-91.0,1515,49,249,177,287,34,244,386,533,19,0,7.005,23.5,50.5
49,2020-01-01 12:15:00+00:00,427.0,5.22,0.0,348.0,-84.0,1524,49,250,178,283,33,245,385,567,19,0,5.909,23.5,50.0
50,2020-01-01 12:30:00+00:00,427.0,5.62,0.0,352.0,-81.0,1527,49,253,176,280,33,247,382,609,19,0,0.316,24.0,50.0
51,2020-01-01 12:45:00+00:00,429.0,6.84,0.0,356.0,-79.0,1542,49,250,163,275,32,250,389,625,19,0,0.317,23.5,50.5
52,2020-01-01 13:00:00+00:00,428.0,6.92,0.0,353.0,-82.0,1588,49,249,164,272,32,252,385,654,19,0,0.32,23.5,50.5
53,2020-01-01 13:15:00+00:00,428.0,9.33,0.0,354.0,-83.0,1585,49,249,164,272,32,254,400,647,19,0,0.324,24.0,50.0
54,2020-01-01 13:30:00+00:00,428.0,8.09,0.0,343.0,-92.0,1591,49,249,164,272,32,254,413,685,19,0,0.317,24.0,50.0
55,2020-01-01 13:45:00+00:00,428.0,6.95,0.0,344.0,-91.0,1584,49,249,164,274,32,254,486,670,19,0,0.091,23.5,50.0
56,2020-01-01 14:00:00+00:00,428.0,6.1,0.0,345.0,-89.0,1543,49,249,164,280,33,255,461,660,19,0,0.014,23.5,50.5
57,2020-01-01 14:15:00+00:00,428.0,6.69,0.0,336.0,-99.0,1515,49,251,164,286,34,253,471,631,19,0,0.023,24.0,51.0
58,2020-01-01 14:30:00+00:00,427.0,3.17,0.0,342.0,-88.0,1529,49,249,164,284,33,253,493,610,19,0,0.02,23.5,50.5
